base_Degree,base_LocalClustCoeff,base_TriangleCount,base_UniquePartners,base_AvgNeighbourDegree,stoich_WeightedTriangles,stoich_AvgNeighbourDegreeStoich,stoich_RangeComplexSize,stoich_MedComplexSize,stoich_MedianRatio,stoich_RangeRatio,protein_MedianUniqueRatio,protein_RangeUniqueRatio,protein_MedComplexNodes,protein_RangeComplexNodes,true_label
-0.0022484181600386094,0.0036179604033736066,-0.04294695788952456,-0.026692804196215187,0.04866582391344296,-0.021197256471834302,0.029014901250951786,-0.0007960594404180109,-0.011842594085375203,-0.026368244407142034,3.5702737589573774e-05,-0.05178178651017298,-0.0006289095912255706,-0.043644778223761824,-0.002690421604391016,0
-0.0021603376151128266,0.0037258019898082284,-0.04166627892240631,-0.02825081284943566,0.05032010403114343,-0.020836320617453476,0.031483398362601736,-0.0007004018972584839,-0.012251765236818032,-0.010082493425434618,4.4901925406117874e-05,-0.05180906155137313,-0.0007050297159650787,-0.042614827390867735,-0.0025619825330366955,0
0.008760978581884878,0.0038584223615933493,-0.04177832317502067,-0.020409995161538932,0.061222787891049436,-0.021402583744976895,0.03851913854029691,-0.0007877677540732928,-0.008754344972865634,-0.007129207334911393,-0.0067237755867147085,-0.046249437616469345,0.0023497730320344956,-0.042615990404492377,-0.0040032179824790615,0
-0.0026690088182059033,0.003888299506270847,-0.04062343729997704,-0.020147283618254144,0.061380796816863176,-0.02125438388229286,0.04951806221164072,-0.0005728297122063029,-0.012995522355287874,-0.010445296032490005,-7.702070323376883e-05,-0.046114404159014,-0.0007571880240547291,-0.038850070399434174,-0.0025738358785757443,0
-0.0026690088182059033,0.003888299506270847,-0.04062343729997704,-0.020147283618254144,0.061380796816863176,-0.02125438388229286,0.04951806221164072,-0.0005728297122063029,-0.012995522355287874,-0.010445296032490005,-7.702070323376883e-05,-0.046114404159014,-0.0007571880240547291,-0.038850070399434174,-0.0025738358785757443,0
-0.0024528174426815498,0.003825520267401636,-0.041761161675193774,-0.023156060731919715,0.051634428009011364,-0.020946989545627147,0.031404211190469086,-0.0006653072291250334,-0.013762655805498446,-0.011228565695250516,-8.518624906976429e-05,-0.04819001547906338,-0.0007264345920297555,-0.04015723639837482,-0.0025450260121879223,0
-0.0024528174426815498,0.003825520267401636,-0.041761161675193774,-0.023156060731919715,0.051634428009011364,-0.020946989545627147,0.031404211190469086,-0.0006653072291250334,-0.013762655805498446,-0.011228565695250516,-8.518624906976429e-05,-0.04819001547906338,-0.0007264345920297555,-0.04015723639837482,-0.0025450260121879223,0
-0.0024528174426815498,0.003825520267401636,-0.041761161675193774,-0.023156060731919715,0.051634428009011364,-0.020946989545627147,0.031404211190469086,-0.0006653072291250334,-0.013762655805498446,-0.011228565695250516,-8.518624906976429e-05,-0.04819001547906338,-0.0007264345920297555,-0.04015723639837482,-0.0025450260121879223,0
-0.0016619517555309868,0.002885220614343476,-0.05077523606611094,-0.04120740449576103,0.021928867891636547,-0.02298432117871631,0.007807615723003392,-0.0013928357347930322,-0.012133979083213679,-0.06938812532628028,-0.00023976381277312226,-0.0892375177686588,-0.0007777181593283079,-0.07225047015774874,-0.002867586631348866,0
-0.0016619517555309868,0.002885220614343476,-0.05077523606611094,-0.04120740449576103,0.021928867891636547,-0.02298432117871631,0.007807615723003392,-0.0013928357347930322,-0.012133979083213679,-0.06938812532628028,-0.00023976381277312226,-0.0892375177686588,-0.0007777181593283079,-0.07225047015774874,-0.002867586631348866,0
-0.008084301297060127,0.003735485656583593,-0.04932657100145575,-0.0294621093237841,-0.04021542049573342,-0.025403456924451416,-0.030767551917154995,-0.0014629322716063818,-0.00847204457641483,-0.021670397611313938,0.0001342824237839745,-0.06283481842145273,-0.0002651531863726696,-0.052562401983797406,-0.002362631595784084,0
0.00018144561933262953,0.003855502788116175,-0.04674192885676961,-0.027999832411570863,-0.04090918879452411,-0.023943705758845576,-0.022496162011132022,-0.0014274786736498,-0.008699607903050304,-0.022351354877800083,0.00044942817359567227,-0.06119586347372886,-0.0002185516477451253,-0.051405578705219473,-0.0022837290588178473,0
0.00018144561933262953,0.003855502788116175,-0.04674192885676961,-0.027999832411570863,-0.04090918879452411,-0.023943705758845576,-0.022496162011132022,-0.0014274786736498,-0.008699607903050304,-0.022351354877800083,0.00044942817359567227,-0.06119586347372886,-0.0002185516477451253,-0.051405578705219473,-0.0022837290588178473,0
0.00018144561933262953,0.003855502788116175,-0.04674192885676961,-0.027999832411570863,-0.04090918879452411,-0.023943705758845576,-0.022496162011132022,-0.0014274786736498,-0.008699607903050304,-0.022351354877800083,0.00044942817359567227,-0.06119586347372886,-0.0002185516477451253,-0.051405578705219473,-0.0022837290588178473,0
0.00018144561933262953,0.003855502788116175,-0.04674192885676961,-0.027999832411570863,-0.04090918879452411,-0.023943705758845576,-0.022496162011132022,-0.0014274786736498,-0.008699607903050304,-0.022351354877800083,0.00044942817359567227,-0.06119586347372886,-0.0002185516477451253,-0.051405578705219473,-0.0022837290588178473,0
-0.0024528174426815498,0.003825520267401636,-0.041761161675193774,-0.023156060731919715,0.051634428009011364,-0.020946989545627147,0.031404211190469086,-0.0006653072291250334,-0.013762655805498446,-0.011228565695250516,-8.518624906976429e-05,-0.04819001547906338,-0.0007264345920297555,-0.04015723639837482,-0.0025450260121879223,0
-0.0024528174426815498,0.003825520267401636,-0.041761161675193774,-0.023156060731919715,0.051634428009011364,-0.020946989545627147,0.031404211190469086,-0.0006653072291250334,-0.013762655805498446,-0.011228565695250516,-8.518624906976429e-05,-0.04819001547906338,-0.0007264345920297555,-0.04015723639837482,-0.0025450260121879223,0
-7.644301349294262e-05,0.003250005957432097,0.00794056503287243,0.0012805680451710517,0.033776093487135686,-0.0017493974613956409,0.01529788262485107,-0.000736835141483413,-0.0024408318387204096,0.022464663764245253,-0.0006909214626398054,0.031722887299286864,-0.001994708240658872,0.0317571522847664,-0.0038765358670354855,1
-0.007098811075624468,0.004162632865635147,0.062157967288008285,0.013210715223624022,-0.004121973921492238,-0.03608368607185472,-0.002569410450832366,-0.0026671364522056844,-0.01632425217591629,0.004376999657809592,-0.001911129662534174,0.04561771945482809,0.0035230151808630264,0.035035290781254065,-0.0023191059541134438,1
-0.007098811075624468,0.004162632865635147,0.062157967288008285,0.013210715223624022,-0.004121973921492238,-0.03608368607185472,-0.002569410450832366,-0.0026671364522056844,-0.01632425217591629,0.004376999657809592,-0.001911129662534174,0.04561771945482809,0.0035230151808630264,0.035035290781254065,-0.0023191059541134438,0
