ProteinId,base_Degree,base_LocalClustCoeff,protein_NumSubgroups,protein_AvgSubgroupSize,base_ComponentSize,base_ComponentEdgeNodeRatio,base_TriangleCount,stoich_WeightedTriangles,base_UniquePartners,stoich_ProtStoichSum,stoich_ProtAvgStoich,stoich_ProtMaxStoich,stoich_MedianRatio,stoich_RangeRatio,stoich_MinComplexSize,stoich_MaxComplexSize,stoich_AvgComplexSize,stoich_MedComplexSize,stoich_RangeComplexSize,protein_MinComplexNodes,protein_MaxComplexNodes,protein_AvgComplexNodes,protein_MedComplexNodes,protein_RangeComplexNodes,base_BetweennessCentrality,base_EigenvectorCentrality,base_KatzCentrality,protein_NormUniqueSum,protein_AvgUniqueRatio,protein_MaxUniqueRatio,protein_RangeUniqueRatio,protein_MedianUniqueRatio,base_AvgNeighbourDegree,stoich_AvgNeighbourDegreeStoich
Q8N531,1,0.0,0,0.0,685,0.9284671532846716,3,4.828313737302301,3,0.25,0.25,0.25,0.25,0.0,4,4,4.0,4.0,0,4,4,4.0,4.0,0,0.0,0.00015448163490426942,0.008627285987692022,0.25,0.25,0.25,0.0,0.25,104.33333333333333,104.33333333333333
Q9BW11,1,0.0,0,0.0,685,0.9284671532846716,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.0,1.4654738613983572e-08,0.006733688198006547,0.5,0.5,0.5,0.0,0.5,12.0,0.0
Q99583,2,0.0,0,0.0,685,0.9284671532846716,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,2,1.5,1.5,1,8.374561700583322e-05,4.145658203998304e-13,0.0070856294860471136,1.5,0.75,1.0,0.5,0.75,5.0,0.0
Q9UH92,5,0.0,0,0.0,685,0.9284671532846716,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.0005848542464361128,1.1106326828204356e-10,0.008269043554747614,2.5,0.5,0.5,0.0,0.5,1.6,0.0
Q14582,2,0.0,0,0.0,685,0.9284671532846716,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.00041555349757632946,1.4709854917189979e-08,0.007121992530580054,1.0,0.5,0.5,0.0,0.5,8.5,0.0
A5YKK6,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,3.0,3.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
O75175,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,3.0,3.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
O95628,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
Q92600,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
Q96LI5,2,0.0,1,9.0,12,0.3333333333333333,72,0.0,10,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.639166070418971e-08,2.80046538761989e-115,0.007513685580376694,0.2,0.1,0.1,0.0,0.1,3.7777777777777777,0.0
Q9C0C2,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
Q9H9A5,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
Q9NZN8,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,3.0,3.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
Q9UIV1,2,0.0,1,9.0,12,0.3333333333333333,72,49.90659700031606,10,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.639166070418971e-08,2.80046538761989e-115,0.007513685580376694,0.2,0.1,0.1,0.0,0.1,3.7777777777777777,4.0
Q9UKZ1,4,0.3333333333333333,5,8.8,12,0.3333333333333333,144,49.90659700031606,11,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,10,10.0,10.0,0,1.1878766776137482e-07,5.600930775239781e-115,0.008691740601075379,0.4,0.1,0.1,0.0,0.1,3.5555555555555554,4.0
O60603,3,0.3333333333333333,0,0.0,6,1.0,0,0.0,3,1.5,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,2.0317359698155147e-06,3.066978917201087e-212,0.007490169372069267,1.5,0.5,0.5,0.0,0.5,2.0,2.0
Q9BXR5,2,1.0,0,0.0,6,1.0,0,0.0,2,1.0,0.5,0.5,0.5,0.0,2,2,2.0,2.0,0,2,2,2.0,2.0,0,3.174587452836742e-07,1.8526642493771186e-212,0.007104196748279222,1.0,0.5,0.5,0.0,0.5,2.5,2.5
Q9HAP2,1,0.0,0,0.0,685,0.9284671532846716,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.0,4.1302412539950425e-13,0.006721633372316802,0.5,0.5,0.5,0.0,0.5,5.0,0.0
Q9BVW5,1,0.0,0,0.0,2,0.5,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.0,2.268503222739713e-245,0.006717091126393427,0.5,0.5,0.5,0.0,0.5,1.0,0.0
Q9UNS1,1,0.0,0,0.0,2,0.5,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.0,2.268503222739713e-245,0.006717091126393427,0.5,0.5,0.5,0.0,0.5,1.0,0.0
Q9NP71,1,0.0,0,0.0,685,0.9284671532846716,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,2.0,2.0,0,0.0,4.1302412539950425e-13,0.006721633372316802,0.5,0.5,0.5,0.0,0.5,5.0,0.0
Q2MV58,1,0.0,0,0.0,14,0.07142857142857142,78,0.0,13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,14,14,14.0,14.0,0,0.0,7.868820719590938e-163,0.006962336866199687,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0
Q5HYA8,1,0.0,0,0.0,14,0.07142857142857142,78,0.0,13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,14,14,14.0,14.0,0,0.0,7.868820719590938e-163,0.006962336866199687,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0
Q6NUS6,1,0.0,0,0.0,14,0.07142857142857142,78,0.0,13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,14,14,14.0,14.0,0,0.0,7.868820719590938e-163,0.006962336866199687,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0
Q6UX40,1,0.0,0,0.0,14,0.07142857142857142,78,0.0,13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,14,14,14.0,14.0,0,0.0,7.868820719590938e-163,0.006962336866199687,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0
Q86X19,1,0.0,0,0.0,14,0.07142857142857142,78,0.0,13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,14,14,14.0,14.0,0,0.0,7.868820719590938e-163,0.006962336866199687,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0
Q8N157,1,0.0,0,0.0,14,0.07142857142857142,78,0.0,13,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,14,14,14.0,14.0,0,0.0,7.868820719590938e-163,0.006962336866199687,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0
