ProteinId,pair_Degree,pair_LocalClustCoeff,pair_TriangleCount,pair_ComponentSize,pair_EigenvectorCentrality,pair_BetweennessCentrality,pair_KatzCentrality,pair_AvgNeighborDegree
P38484,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P38570,1,0.0,0,21,2.1200956988124037e-267,0.0,0.008151557806692364,2.0
P38606,25,0.98,294,26,4.3686670983786824e-80,8.040308747855917e-08,0.014089709335874643,24.52
P38646,12,0.9848484848484849,65,13,8.636558655617434e-155,0.0,0.010113445012514117,11.833333333333334
P38919,5,0.7,7,24,3.517897153948201e-126,4.716981132075471e-06,0.008809570226068266,7.0
P39019,33,1.0,528,34,3.3726633232748213e-49,0.0,0.01881069988327964,33.0
P39023,51,0.9968627450980392,1271,77,0.13558917874616197,2.4616843750393867e-08,0.07924285338233354,51.84313725490196
P39059,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
P39060,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
P39086,4,0.8333333333333334,5,5,2.820823997958267e-265,0.0,0.008600934214284114,3.5
P39656,11,0.8181818181818182,45,12,5.183282480282069e-176,3.790431266846361e-07,0.009834639232526407,9.181818181818182
P40189,9,0.2777777777777778,10,14,9.66622724607213e-236,5.89622641509434e-06,0.009350254343697505,3.6666666666666665
P40197,4,1.0,6,5,2.5161980026224215e-257,0.0,0.008606346037784565,4.0
P40227,7,1.0,21,8,2.6961278171948206e-206,0.0,0.009118033774501103,7.0
P40306,14,0.989010989010989,90,685,6.510627227141589e-34,0.0,0.012981063792822737,35.0
P40337,4,1.0,6,685,1.007490997397762e-31,0.0,0.009185572967136835,51.5
P40429,55,0.8895622895622896,1321,77,0.13817456343680748,0.0001745651533018868,0.08108921790502631,49.41818181818182
P40692,3,0.0,0,4,8.4e-323,1.179245283018868e-06,0.008432943730100492,1.0
P40763,4,0.3333333333333333,2,8,1.1303195941072843e-285,4.13562975006617e-06,0.008590264744053208,2.5
P40925,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P40933,3,1.0,3,17,1.0477643260487695e-247,0.0,0.008474781872577438,6.333333333333333
P40937,5,0.9,9,6,4.747805650084342e-243,0.0,0.008764785814457655,4.6
P40938,5,0.9,9,6,4.747805650084342e-243,0.0,0.008764785814457655,4.6
P40939,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P41002,3,1.0,3,685,1.0534662418718977e-31,0.0,0.009356544058071455,104.66666666666667
P41091,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P41208,7,0.38095238095238093,8,685,9.728807247687809e-33,0.0005910966981132077,0.009417567010865165,12.428571428571429
P41227,2,0.0,0,4,8.6807532017e-313,0.0,0.00829597582714281,2.0
P41238,3,1.0,3,77,5.615953813494318e-05,0.0,0.008502230188269528,6.666666666666667
P41252,10,1.0,45,77,6.53751685810909e-05,0.0,0.00973130143399913,10.3
P41743,4,0.5,3,6,1.6448116555625428e-262,3.9308176100628933e-07,0.008601114661565127,3.5
P42224,4,0.3333333333333333,2,8,1.181564772047724e-285,5.89622641509434e-06,0.008592736832534312,2.75
P42226,1,0.0,0,8,2.6156288354736327e-286,0.0,0.008154156058544445,3.0
P42229,2,1.0,1,8,6.120494483832645e-286,0.0,0.008301188301517387,3.0
P42261,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P42262,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P42285,10,0.26666666666666666,12,11,2.151465158124926e-237,7.665094339622642e-06,0.009492322980467633,3.4
P42336,3,0.0,0,6,1.4901897136238896e-281,3.9308176100628933e-07,0.008448311333798378,3.0
P42338,3,0.0,0,6,1.4901897136238896e-281,3.938695000063019e-07,0.008448311333798378,3.0
P42345,5,0.7,7,6,5.415059713701556e-253,0.0,0.008753850123597024,3.8
P42574,0,0.0,0,1,0.0,0.0,0.008007212150783405,0.0
P42575,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P42677,33,1.0,528,34,3.3726633232748213e-49,0.0,0.01881069988327964,33.0
P42695,4,1.0,6,8,1.3461998429165463e-237,0.0,0.008622901409811916,5.5
P42701,5,0.6,6,14,5.925127572492087e-236,1.179245283018868e-06,0.00876526761765684,4.6
P42766,52,0.9939668174962293,1318,77,0.13801588932728134,3.6851415094339625e-08,0.0805291981992681,51.75
P43034,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P43246,2,0.0,0,3,0.0,5.89622641509434e-07,0.00829094718395542,1.0
P43307,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
P43308,3,1.0,3,4,1.4901897136238896e-281,0.0,0.008448311333798378,3.0
P43681,3,0.6666666666666666,2,9,1.2034888837122212e-250,0.0,0.00846684348178671,5.333333333333333
P43686,35,0.9966386554621849,593,685,2.099723787872996e-33,0.0,0.021166729146904862,37.05714285714286
P43699,1,0.0,0,11,5.94533423822558e-288,0.0,0.008156671130287388,4.0
P45379,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P46019,5,1.0,10,25,1.1482019874991485e-172,0.0,0.008917216570049397,15.0
P46020,5,1.0,10,25,1.1482019874991485e-172,0.0,0.008917216570049397,15.0
P46060,2,1.0,1,44,1.3850054700136414e-60,0.0,0.008452550332932497,17.0
P46098,4,0.0,0,5,1.302112980253e-312,0.0,0.008575026400297326,1.0
P46379,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P46531,2,1.0,1,3,8.6807532017e-313,0.0,0.00829597582714281,2.0
P46736,10,0.6,27,18,5.347715088576635e-194,5.06122307508098e-06,0.009620975243973722,7.8
P46776,52,0.9939668174962293,1318,77,0.13801588932728134,3.6925265625590804e-08,0.0805291981992681,51.75
P46777,52,0.9939668174962293,1318,77,0.13801588932728134,3.6851415094339625e-08,0.0805291981992681,51.75
P46778,52,0.9939668174962293,1318,77,0.13801588932728134,3.6851415094339625e-08,0.0805291981992681,51.75
P46779,52,0.9939668174962293,1318,77,0.13801588932728134,3.6851415094339625e-08,0.0805291981992681,51.75
P46781,33,1.0,528,34,3.3726633232748213e-49,0.0,0.01881069988327964,33.0
P46782,33,1.0,528,34,3.3726633232748213e-49,0.0,0.01881069988327964,33.0
P46783,33,1.0,528,34,3.3726633232748213e-49,0.0,0.01881069988327964,33.0
P46937,1,0.0,0,2,0.0,0.0,0.008149036683579107,1.0
P46939,9,1.0,36,15,2.936547371667576e-162,0.0,0.009574362183001148,11.555555555555555
P46977,8,1.0,28,12,4.108770064442255e-176,0.0,0.009359974080333183,10.25
P47755,1,0.0,0,3,0.0,0.0,0.0081515064712603,2.0
P47756,2,0.0,0,3,0.0,0.0,0.00829094718395542,1.0
P47869,4,0.5,3,13,8.896355389659484e-216,1.579346361185984e-07,0.008656064885416617,8.5
