split_index,seed_accepted,attempts,accepted,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,n_leaking_groups,n_groups_present,leaking_group_pct
25,66,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,241,958,25.2
26,67,1,True,2716,80.02,678,19.98,0.02,False,166,40,2548,634,6.12,5.93,0.15,False,235,958,24.5
27,68,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,242,958,25.3
28,69,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,237,958,24.7
29,70,1,True,2716,80.02,678,19.98,0.02,False,166,40,2546,636,6.12,5.92,0.16,False,228,958,23.8
30,71,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,238,958,24.8
31,72,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,242,958,25.3
32,73,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,239,958,24.9
33,74,1,True,2716,80.02,678,19.98,0.02,False,166,40,2546,636,6.12,5.92,0.16,False,233,958,24.3
34,75,1,True,2716,80.02,678,19.98,0.02,False,166,40,2546,636,6.12,5.92,0.16,False,236,958,24.6
35,76,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,238,958,24.8
36,77,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,218,958,22.8
37,78,1,True,2716,80.02,678,19.98,0.02,False,165,41,2548,634,6.08,6.07,0.01,False,224,958,23.4
38,79,1,True,2716,80.02,678,19.98,0.02,False,165,41,2547,635,6.08,6.07,0.01,False,227,958,23.7
39,80,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,226,958,23.6
40,81,1,True,2716,80.02,678,19.98,0.02,False,165,41,2546,636,6.09,6.06,0.02,False,226,958,23.6
41,82,1,True,2716,80.02,678,19.98,0.02,False,166,40,2546,636,6.12,5.92,0.16,False,223,958,23.3
42,83,1,True,2716,80.02,678,19.98,0.02,False,165,41,2548,634,6.08,6.07,0.01,False,250,958,26.1
43,84,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,224,958,23.4
44,85,1,True,2716,80.02,678,19.98,0.02,False,166,40,2545,637,6.12,5.91,0.17,False,221,958,23.1
45,86,1,True,2716,80.02,678,19.98,0.02,False,165,41,2547,635,6.08,6.07,0.01,False,232,958,24.2
46,87,1,True,2716,80.02,678,19.98,0.02,False,166,40,2545,637,6.12,5.91,0.17,False,227,958,23.7
47,88,1,True,2716,80.02,678,19.98,0.02,False,166,40,2547,635,6.12,5.93,0.15,False,218,958,22.8
48,89,1,True,2716,80.02,678,19.98,0.02,False,165,41,2547,635,6.08,6.07,0.01,False,224,958,23.4
49,90,1,True,2716,80.02,678,19.98,0.02,False,165,41,2545,637,6.09,6.05,0.03,False,230,958,24.0
50,91,1,True,2716,80.02,678,19.98,0.02,False,165,41,2547,635,6.08,6.07,0.01,False,242,958,25.3
