ComplexId,ProteinId,Stoichiometry,Evidence
CPX-10318,Q9Y4W6,6,ECO:0005547
CPX-10319,Q9UQ90,5,ECO:0005547
CPX-10319,Q9Y4W6,5,ECO:0005547
CPX-1032,O95149,1,ECO:0000353
CPX-1032,Q14974,1,ECO:0000353
CPX-10322,O95760,1,ECO:0005547
CPX-10322,Q01638,1,ECO:0005547
CPX-10322,Q9NPH3,1,ECO:0005547
CPX-10324,O95760,1,ECO:0005547
CPX-10324,Q01638,1,ECO:0005547
CPX-10326,P43034,2,ECO:0005547
CPX-10326,Q15102,2,ECO:0005547
CPX-10328,P43034,2,ECO:0005543
CPX-10328,P68402,2,ECO:0005543
CPX-10329,P43034,2,ECO:0005547
CPX-10329,P68402,1,ECO:0005547
CPX-10329,Q15102,1,ECO:0005547
CPX-10331,Q86XR7,1,ECO:0000353
CPX-10331,Q8IUC6,1,ECO:0000353
CPX-10333,P07333,2,ECO:0000353
CPX-10333,Q6ZMJ4,2,ECO:0000353
CPX-10334,P29459,1,ECO:0005547
CPX-10334,P40189,1,ECO:0005547
CPX-10334,Q14213,1,ECO:0005547
CPX-10334,Q99665,1,ECO:0005547
CPX-10335,P29459,1,ECO:0005547
CPX-10335,Q14213,1,ECO:0005547
CPX-10335,Q6UWB1,1,ECO:0005547
CPX-10335,Q99665,1,ECO:0005547
CPX-10336,P29459,1,ECO:0005547
CPX-10336,Q14213,1,ECO:0005547
CPX-10336,Q99665,2,ECO:0005547
CPX-10337,P29459,1,ECO:0005547
CPX-10337,P40189,2,ECO:0005547
CPX-10337,Q14213,1,ECO:0005547
CPX-10338,Q9HB29,1,ECO:0005547
CPX-10338,Q9NPH3,1,ECO:0005547
CPX-10338,Q9UHA7,1,ECO:0005547
CPX-10340,Q9HB29,1,ECO:0005547
CPX-10340,Q9NPH3,1,ECO:0005547
CPX-10340,Q9NZH7,1,ECO:0005547
CPX-10341,Q9HB29,1,ECO:0005547
CPX-10341,Q9NPH3,1,ECO:0005547
CPX-10341,Q9NZH8,1,ECO:0005547
CPX-10343,Q9HB29,1,ECO:0005547
CPX-10343,Q9UBH0,1,ECO:0005547
CPX-10344,Q13478,1,ECO:0005547
CPX-10344,Q6IA17,1,ECO:0005547
CPX-10344,Q9NZH6,1,ECO:0005547
CPX-10345,P84022,1,ECO:0000353
CPX-10345,Q9NZH6,1,ECO:0000353
CPX-10348,Q9NZH6,2,ECO:0000353
CPX-104,P61244,1,ECO:0000353
CPX-104,Q05195,1,ECO:0000353
CPX-1048,P0DP23,1,ECO:0005547
CPX-1048,P0DP24,1,ECO:0005547
CPX-1048,P0DP25,1,ECO:0005547
CPX-1048,Q08209,1,ECO:0005547
CPX-1048,Q96LZ3,1,ECO:0005547
CPX-1050,P0DP23,1,ECO:0005547
CPX-1050,P0DP24,1,ECO:0005547
