split_index,seed_index,noise_seed,n_train,n_test,rand_pr_auc,pair_pr_auc,hyper_pr_auc,rand__rand_0,rand__rand_1,rand__rand_2,rand__rand_3,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__stoich_WeightedTriangles,hyper__stoich_AvgNeighbourDegreeStoich,hyper__stoich_RangeComplexSize,hyper__stoich_MedComplexSize,hyper__stoich_MedianRatio,hyper__stoich_RangeRatio,hyper__protein_MedianUniqueRatio,hyper__protein_RangeUniqueRatio,hyper__protein_MedComplexNodes,hyper__protein_RangeComplexNodes,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3
5,1,5043,2727,661,0.07675001486653399,0.30586067209893913,0.42385045624595025,-0.0016321733037206506,-0.0014643889559686034,-0.006310905622233391,0.0009497358224310997,0.09282363728045025,0.16024516196585142,0.07491790903995824,0.08463033755394327,0.0010434781893700952,0.022833142849325784,0.02033367894938091,0.03736823008437199,0.06323153310332374,0.003439928975422468,0.0071141504261988675,-0.01102316221338014,-0.01259436692705313,-0.01466664719842074,0.015453306543114997,0.003531851653746898,0.03757981878185842,0.07366619587582393,-0.013904167122672877,0.05850523849819285,-0.02699000483420603,0.0821344500617207,0.0032414663875174167,-0.00596305387504747,-0.003175465051892945,-0.013197597558932411,0.002390180810825948
5,2,5044,2727,661,0.07734348762406112,0.27777533359306283,0.4235959332131662,-0.017786773162490846,-0.009732294333862707,-0.0032550621535623685,-0.0022307161192950493,0.055358581139968686,0.15257949808976917,0.054271810412592415,0.11385658115385014,-0.021219710647783087,0.0017616116532670728,-0.0038621791923564297,-0.00984948498489056,0.0665445181802142,0.015492778449686212,0.030653355136704537,-0.004481408513721008,0.009221397206701048,0.0034569437525596436,0.01465499716196525,0.006765294037268321,0.0566997655786188,0.07613552842606239,-0.003496222106556862,0.07550380708259526,0.01569114731858589,0.08934968803456077,-0.005919991680413378,-0.019642797834395487,-0.0017185475933867544,0.007967005408874716,0.0022125951430462033
6,0,6042,2761,627,0.07663691341989343,0.1712246097676639,0.2516192996577209,0.0076263536574438335,0.0027766129062310268,0.001080193627607666,-0.012132846821043694,0.012322362849107638,0.058958886832632694,0.021647539572898434,0.03238808239221459,0.004423575844360128,0.004822670964804365,-0.01457172523066579,-0.022105222709042506,0.022434139261383854,0.014528657352969498,0.016854023461238946,-0.0020491300166183197,0.010830328967188968,0.03178810433592978,0.04946977477277077,-0.004805334249315246,0.03338654658771112,0.026552986175784988,-0.00875370632972946,0.014504464890188234,-0.0027439636599594862,0.010601737037576772,-0.003933361308653816,0.014042842384731006,-0.0008918792012205274,-0.00015645764058229704,-0.01530179995440934
6,1,6043,2761,627,0.0831207545295386,0.18469880454173193,0.2695297906481226,-0.014625068330114458,0.011363770081001775,-0.006689817075650204,-0.012824722626864588,0.008414573789191915,0.07013964909507563,0.00680935195363144,0.01975967574271873,-0.007846240211192072,-0.00033425145113220314,0.016295604899026813,0.0077943656163212555,-0.0007227310648313002,0.015920306277380464,0.023924680515734483,0.0009112359790425739,0.016888510856689642,0.03274424499737758,0.03995211539487685,-0.0015035139296002086,0.0326648095516715,0.0367538972922598,-0.007476631025982372,0.02753318682016299,-0.0055685222745931184,0.02220187205130047,0.0017071410439158884,-0.01118105152085363,0.008864386143902492,0.0066512211327196535,0.02444901269933053
6,2,6044,2761,627,0.0777831533596213,0.1585419739463348,0.2174615408949626,0.002487392905747186,-0.010588086520737944,0.00026293474992969136,-0.004762749024067478,0.016953048895943266,0.04755204223524105,0.028562980973432205,0.02974157529609841,0.00013660268439069921,-0.012659060361905353,0.00012564840986398207,0.0009539470613670997,0.0011901381170786678,0.018633734192928627,0.029628452339035643,0.01150361619569563,0.016419414108253923,0.02894181194540646,0.029254050210074344,-0.001818765151105095,0.02513650145713433,0.0205279642804575,-0.005759934715549508,0.015916895236155172,0.006625032961350525,0.017281440053522786,0.0013421831713676252,-0.011546168543882258,0.00020093076559718205,0.006317439376111786,-0.005654493411921357
7,0,7042,2702,686,0.1084768132522477,0.2094767700711514,0.3306645552702647,0.002402462411842886,0.009035636304409506,-0.010408589367696178,0.0017388281164459145,0.01222175806224311,0.06524661051782825,0.030265490499055213,0.033486174479885764,-0.01767269122458926,-0.010738754065161473,-0.02553415551783177,-0.02174570858724041,0.05699255242865683,0.02635055639529505,-0.007908727784967724,-0.016828518444467595,0.0329415837626562,0.024853109333148132,0.038370062918206556,-0.009309428088878057,0.017582557527880304,-0.004038942309820654,-0.020484149921107385,-0.01120484797437879,-0.012720382671487795,0.0077018196824709005,-0.003751180752379307,-0.018345946356308644,-0.022203675952379636,-0.03870485042695682,-0.010573302125929263
7,1,7043,2702,686,0.104910143974857,0.24216984647317458,0.3954810950683051,-0.0013513667621490421,-0.005274854206365633,0.004217078234103677,-0.007498372460133488,0.017000845629301396,0.09538244147439742,0.020359374328022758,0.044349954456379556,-0.011189808740570068,-0.006685026465957952,0.005902658531770516,-0.02018048334246854,0.06086218099449923,0.01288356399941048,0.0011612667786549292,-0.019512565652284226,0.03745949388455036,0.03473226826329931,0.05427220042319473,-0.010374698809527193,0.03539625188233437,0.027637821046477877,-0.017849940186745468,0.008219177702844804,-0.012082076248154211,0.004248373362870139,-0.006340839550798183,-7.174862847828534e-05,-0.009279573996139606,-0.01215342202884941,0.00024047351315141242
7,2,7044,2702,686,0.12174759985771794,0.21467024896076592,0.40738137023723026,0.008300919203087093,0.006834600346168183,0.008370938654077186,0.007326902688564204,-0.016811192095835738,0.05468425060407885,0.019862315641415662,0.03361095597867599,-0.004860078371316301,-0.014309561782513022,-0.009192818994848698,-0.005400412642945987,0.04915890736199088,0.02673383694133996,-0.009568853593772214,-0.02610684766187791,0.05429033281538296,0.04189111173676441,0.06715443930337786,-0.016863727290243852,0.05163894604808914,0.037493531959741394,-0.023178817230319705,0.02546327047285004,-0.016054578167710953,0.012410029876495943,-0.009840481704554361,0.003907872762729242,-0.006548357035496938,-0.006506270643791362,0.00306723480973724
8,0,8042,2787,601,0.061256143710734234,0.2425370707817678,0.6300525127184151,-0.016235385220718327,-0.003819955211694959,-0.007799544723980546,-0.009821436996605154,0.03317976976577523,0.12983287616652042,0.036459690115213016,0.0243148328220477,-0.008609183738865975,-0.014222524560790817,-0.006762135652307977,-0.01028651099420062,0.27826981788977945,0.0294513651977095,0.05708911246875238,0.04779425586852255,0.08957050376646596,0.1278990865795104,0.17059048416841732,-0.0031479023778479553,0.14689107926140704,0.17453514334391218,0.0019677470800490092,0.20488139717171042,-0.02723351446467399,0.17949651584137133,-0.010034659002264768,-0.0014628175990337611,0.0012466378867738936,-0.0035828126823861826,0.0009020689840144924
8,1,8043,2787,601,0.09648271034663032,0.22327979059635236,0.5562503566731284,-0.009211256545026168,0.020955639419397647,-0.005972321607741945,-0.00807090463776385,0.00468975458057958,0.10211229034517877,0.014113116113756149,0.01028288667722497,0.0055516276743299755,0.021925740841291428,-0.02557764854576087,-0.00668764210536506,0.2194224253459805,0.057488504049144004,0.11041860840072189,0.09010180525858105,0.09809691703470695,0.137199508103381,0.13021123341371696,-0.004880968582564526,0.1363667083537745,0.18021837664877566,0.012613078741711936,0.17760178254130515,-0.030562488972715483,0.16963771290955468,-0.016778226293756117,-0.006032559163099349,-0.00123959679258272,0.012069041851756912,-0.005281037137502176
