split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hyper_recip_pr_auc,hb_graph_pr_auc
21,3959,1163,11.896943672644607,10.404127257093723,0.25833651504050836,0.3665643725591242,0.40823612048211505,0.4386771423011473,0.4251912658444906
22,4090,1032,11.78484107579462,10.65891472868217,0.2548371123884066,0.3635951330755229,0.3705881137783837,0.42860588894113644,0.38555006089722826
23,3952,1170,11.209514170040485,12.735042735042734,0.2799427550417917,0.31301753432407947,0.3311372366175515,0.38871364526882113,0.3418146065618133
24,4063,1059,11.297071129707113,12.5590179414542,0.28855044029101173,0.41563560067095634,0.45405537952982067,0.44186370189320967,0.41990263875333544
25,3968,1154,11.491935483870968,11.785095320623917,0.25780454279156606,0.3792417171159779,0.4020338882193775,0.4659071348402767,0.4122568993021588
26,4221,901,11.774461028192372,10.543840177580465,0.21782986659567086,0.27050535386418106,0.280266360527416,0.318474029152548,0.2866064406435553
27,4154,968,11.651420317766009,11.15702479338843,0.3370740883898752,0.34292053050649274,0.40719616957376326,0.4632306946043653,0.4324008248952129
28,4209,913,11.404133998574483,12.26725082146769,0.22547985206144033,0.3068178223060551,0.3395965304716375,0.36798800560058975,0.34725279296599876
29,4206,916,11.578697099381834,11.462882096069869,0.3171844768101035,0.34875049893274135,0.36577042847663255,0.41325718638014325,0.3772594060956127
30,4141,981,11.615551799082349,11.314984709480122,0.24144773993615154,0.2862536993723998,0.3591610911891425,0.33712451524376513,0.35343775284180057
31,4074,1048,11.29111438389789,12.595419847328243,0.25264504353079076,0.4403600166001411,0.42796070055201174,0.4690046582574688,0.4203219931589464
32,3950,1172,11.670886075949367,11.177474402730375,0.2672760323969321,0.3099951338973832,0.33916283975748424,0.37593116528212817,0.3496814486715305
33,4176,946,11.781609195402298,10.570824524312897,0.3213075173969769,0.3360977915332966,0.3928258229786267,0.4520481715064417,0.3909935547395395
34,4077,1045,11.77336276674025,10.717703349282298,0.2292790685987917,0.3428851815300059,0.36735136127995444,0.4180507965675416,0.3815957024272437
35,4198,924,11.743687470223916,10.714285714285714,0.2702305627109427,0.32580449043349174,0.3374932707710671,0.3955651186594188,0.34846476168740487
36,4144,978,11.221042471042471,12.985685071574643,0.2922215884026346,0.3399169747652337,0.371856447531181,0.4178018242561807,0.3904415513062693
37,4264,858,11.468105065666041,12.004662004662006,0.20451657808930082,0.3278131355374619,0.3449521314266927,0.36917119730748815,0.3554716927951277
38,4111,1011,11.213816589637558,12.957467853610286,0.3108706819917357,0.4072562421455481,0.42427527539632526,0.4090598015792752,0.4054967174764456
39,4141,981,11.494808017387106,11.824668705402651,0.2240493438956697,0.31414409334282845,0.3471547002140847,0.35171314799591313,0.3523663021319825
40,4154,968,11.266249398170439,12.8099173553719,0.3433395421535614,0.3603396367310742,0.40681393992954445,0.49200406038046307,0.4135528894446566
41,4067,1055,11.335136464224243,12.417061611374407,0.2867773659119945,0.3541608333022082,0.37807347885221004,0.3998545135087912,0.3910727540223458
42,4085,1037,11.554467564259486,11.571841851494696,0.2474438600070314,0.3475554165529844,0.3671967573107743,0.39070204341242853,0.36632730073984515
43,4086,1036,11.380323054331864,12.258687258687258,0.2272853668475998,0.43596972185450483,0.48023674205524514,0.44704862129669665,0.46365405510946883
44,4125,997,11.806060606060607,10.531594784353059,0.2519903100808449,0.3752162679076025,0.43938702749657216,0.4951591179345406,0.45150073606194613
