base_Degree,base_LocalClustCoeff,base_TriangleCount,base_UniquePartners,base_AvgNeighbourDegree,protein_MedianUniqueRatio,protein_RangeUniqueRatio,protein_MedComplexNodes,protein_RangeComplexNodes,true_label
-0.005674465435477328,0.001494765953408105,0.002721431336700043,0.0008763560006464383,-0.12932394192829463,0.04345478933645109,-0.026126791216161793,0.046000342386134686,-0.02755720409171805,0
-0.011049845650550411,-0.09154440602579977,0.07502983658669918,0.008148325779313311,-0.17318630652265762,0.03353251783721675,-4.8019145760934575e-06,0.03992533824867012,-0.008734882323412815,0
-0.012753550422877383,-0.0022910105087166,0.007884204887731257,-0.001524880810575216,-0.04792821649408611,-0.03402927067282679,-0.0012305321454430763,-0.03260001827230957,-0.0010614296597128642,1
-0.000788232978603864,-0.01594652822521671,0.11695865129005029,0.025055804127506225,-0.009418781921951263,0.06117597200781716,0.012237123199713885,0.061476790746171524,0.03699694473965764,1
0.000557636648926222,0.004442324107031092,0.1319119795272272,0.042165947446269315,-0.01322576086035423,0.05691500899236175,0.012619719647155792,0.049934772193530555,0.04003043654810304,1
5.350875676778306e-05,-0.00036797630832109516,0.03079812659977655,0.021836853492591235,-0.021735428090021842,0.06966347844841671,0.013150450678881582,0.062442749754558144,0.011043006499431974,0
0.0016950560368634035,-0.0314510652802484,0.0187070636718318,0.003287145128741578,-0.023359092210554756,0.06322729893884849,0.008830107065961792,0.06536720438172933,-0.010935052079839747,0
-0.0027652327785096143,-0.0005216846692296541,-0.10251523725470141,-0.03488136516490765,-0.03020718607113255,0.0427061556106588,-0.03105699124298687,0.04692027644916015,-0.028031840049317306,0
-0.00447316940495467,0.0018633713154962157,0.0945680974916999,0.015531671350583925,-0.1551599875753524,0.03310649956513496,0.012564765027374991,0.02360876859130175,0.04223560070116891,1
-0.009706177094211649,0.0070305001559394275,0.1609663588204968,0.06869670074972568,-0.016762565618721147,-0.035717611339080864,0.005403984133217521,-0.03178123887539968,0.04306635665540103,1
0.0008669222668325592,0.0019836891393829165,-0.012898045836807369,-0.010789930602224294,-0.014666533897847557,-0.04281540257212659,0.010107233692739923,-0.036425761264583266,-0.0128650267905331,0
-0.0037947597629417232,0.0013231991485628152,0.003955561765556563,0.008311590908534179,-0.007868820042915947,0.06377600527790654,-0.023028702602674988,0.060864638475166336,-0.021205494418624092,0
-0.0037947597629417232,0.0013231991485628152,0.003955561765556563,0.008311590908534179,-0.007868820042915947,0.06377600527790654,-0.023028702602674988,0.060864638475166336,-0.021205494418624092,0
