model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,hypergraph,25,0.4309599263228761,2671,635,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,25,0.43979196789573094,2671,635,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,26,0.5041945449532552,2680,626,4,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,26,0.6060974396373304,2680,626,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,26,0.5412335382615387,2680,626,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,27,0.5547092842515822,2614,692,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,27,0.5742852070623744,2614,692,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,27,0.5914284503142766,2614,692,14,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,28,0.3167722750601543,2680,626,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,28,0.36345156562214453,2680,626,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,28,0.4052364737857331,2680,626,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,29,0.5360593109153737,2604,702,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,29,0.5190384681674574,2604,702,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,29,0.5505419593127878,2604,702,14,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,30,0.5346472128228907,2624,682,4,42,"{'clf__C': 1000, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,30,0.6804884354660244,2624,682,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,30,0.680588471990517,2624,682,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,31,0.5586415322857381,2686,620,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,31,0.48077865144332577,2686,620,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,31,0.5027315473070227,2686,620,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,32,0.42583976373356214,2636,670,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,32,0.4413880983392513,2636,670,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,32,0.528356293739155,2636,670,14,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,33,0.5792185253518801,2633,673,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,33,0.5725886786503448,2633,673,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,33,0.613604122189151,2633,673,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,34,0.5021836938455725,2659,647,4,42,"{'clf__C': 10, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,34,0.6229646028507665,2659,647,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,34,0.46901080331835315,2659,647,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,35,0.7187895533121498,2702,604,4,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hypergraph,35,0.7187685512114774,2702,604,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,35,0.7517202275241704,2702,604,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,36,0.36850344823300224,2587,719,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,36,0.39775154756557213,2587,719,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,36,0.426940288041348,2587,719,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,37,0.5341996179188112,2584,722,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,37,0.6025846927017133,2584,722,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,37,0.5979668877333695,2584,722,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
