split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hyper_recip_pr_auc,hyper_recip_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff,recip_pr_auc_diff,net_recip_pr_auc_diff
29,2603,703,23.818670764502496,21.763869132290186,0.4208418953095774,0.4012345679012346,0.4468787644450959,0.3552123552123552,0.44386449679064327,0.3511450381679389,0.4373191930747831,0.4013605442176871,0.4241480989620673,0.35877862595419846,0.003306203652489903,-0.04245594194703611,-0.0227306654830286,0.003566270741843236,-0.003014267654452618,-0.019716397828575982,-0.00955957137031277,-0.013171094112715831
30,2705,601,23.43807763401109,23.128119800332776,0.35690505682167667,0.38267148014440433,0.42790081638075583,0.3870967741935484,0.41437825076039897,0.4031620553359684,0.43065706133313175,0.4702549575070821,0.39863055173194306,0.3968871595330739,0.04172549491026639,0.014215679388669578,-0.02927026464881277,0.009790385339525531,-0.013522565620356863,-0.015747699028455908,0.002756244952375919,-0.03202650960118869
31,2678,628,22.74085138162808,26.11464968152866,0.6521126892405704,0.5633802816901409,0.637322405840089,0.6186186186186187,0.6284184317303055,0.5928338762214984,0.6501346388602691,0.5618556701030928,0.5949174180016565,0.5895953757225434,-0.05719527123891388,0.02621509403240252,-0.042404987838432495,-0.029023242896075274,-0.008903974109783497,-0.033501013728649,0.012812233020180086,-0.05521722085861258
32,2683,623,24.040253447633248,20.545746388443018,0.35839940323355524,0.3939393939393939,0.3817345344031849,0.3744292237442922,0.37564865719096435,0.3418803418803419,0.38281095323412273,0.39849624060150374,0.3460414640701317,0.24242424242424243,-0.012357939163423537,-0.1515151515151515,-0.03569307033305319,-0.13200498132004979,-0.006085877212220536,-0.029607193120832653,0.001076418830937842,-0.03676948916399103
33,2641,665,23.816736084816355,21.654135338345863,0.5725572545908703,0.5085714285714286,0.5969316969190951,0.48226950354609927,0.6021568223750918,0.47686832740213525,0.5977047381629749,0.5044510385756676,0.5821088447179101,0.5046153846153846,0.009551590127039877,-0.003956043956043986,-0.014822852201184955,0.02234588106928531,0.0052251254559967375,-0.020047977657181693,0.0007730412438797796,-0.015595893445064735
34,2679,627,23.665546845837998,22.169059011164276,0.4512205309368496,0.5027624309392266,0.5186059090547691,0.5311475409836065,0.5124049383616471,0.5442622950819672,0.5121435317533408,0.5268542199488491,0.4878389493633764,0.51985559566787,0.0366184184265268,0.017093164728643417,-0.030766959691392703,-0.011291945315736518,-0.006200970693121977,-0.024565988998270727,-0.00646237730142829,-0.024304582389964413
35,2698,608,23.57301704966642,22.532894736842106,0.4497409356364969,0.4782608695652174,0.4878181642350242,0.49206349206349204,0.4803574762443148,0.463519313304721,0.47373490552853265,0.4939759036144578,0.4443817300030618,0.357487922705314,-0.005359205633435116,-0.12077294685990342,-0.04343643423196242,-0.13457556935817805,-0.007460687990709425,-0.03597574624125299,-0.014083258706491575,-0.029353175525470843
36,2630,676,23.688212927756656,22.189349112426036,0.45318346202480636,0.5356125356125356,0.5642049979222551,0.5641025641025641,0.5468402755554304,0.5387205387205387,0.5403577635020453,0.5368731563421829,0.5353742413718121,0.5576923076923077,0.08219077934700575,0.022079772079772075,-0.028830756550442982,-0.0064102564102563875,-0.017364722366824736,-0.011466034183618246,-0.02384723442020975,-0.004983522130233231
37,2724,582,22.687224669603523,26.632302405498283,0.587957079462039,0.5533333333333333,0.6217279516546635,0.5099601593625498,0.6164196196852916,0.5217391304347826,0.61871294783747,0.5704697986577181,0.595818338544698,0.5294117647058824,0.007861259082659,-0.023921568627450984,-0.025909613109965535,0.019451605343332568,-0.005308331969371971,-0.020601281140593564,-0.003015003817193551,-0.022894609292771984
38,2687,619,24.22776330480089,19.7092084006462,0.40632359265107293,0.49814126394052044,0.4298183720983687,0.4131455399061033,0.43452638232369195,0.41148325358851673,0.45374867945706515,0.42990654205607476,0.42778797931069523,0.3282051282051282,0.021464386659622303,-0.16993613573539224,-0.002030392787673474,-0.0849404117009751,0.004708010225323245,-0.006738403012996719,0.023930307358696445,-0.02596070014636992
39,2690,616,24.349442379182157,19.155844155844157,0.3509270915280225,0.4470588235294118,0.3886692775909052,0.3870967741935484,0.3911479877765582,0.4090909090909091,0.4109511957148304,0.46357615894039733,0.3660203887125265,0.4067796610169492,0.015093297184504029,-0.04027916251246261,-0.02264888887837868,0.019682886823400803,0.002478710185652988,-0.02512759906403167,0.022281918123925215,-0.044930807002303896
40,2615,691,23.785850860420652,21.852387843704776,0.390730855888947,0.4262295081967213,0.42830830656847313,0.3861003861003861,0.4274889900699129,0.36363636363636365,0.44265906700211194,0.4857142857142857,0.3869822424413082,0.3510204081632653,-0.0037486134476388266,-0.07520910003345599,-0.04132606412716494,-0.03507997793712081,-0.0008193164985602075,-0.04050674762860473,0.01435076043363881,-0.05567682456080375
41,2598,708,24.364896073903004,19.774011299435028,0.34738001819824016,0.4556354916067146,0.3438674806662974,0.4598337950138504,0.3572372442751053,0.4340659340659341,0.3706452509393128,0.430622009569378,0.3472278106937927,0.4585635359116022,-0.00015220750444744358,0.002928044304887578,0.0033603300274953063,-0.0012702591022482057,0.013369763608807872,-0.010009433581312566,0.026777770273015367,-0.02341744024552006
42,2720,586,24.044117647058822,20.30716723549488,0.41812658250826323,0.4935064935064935,0.4666874160732447,0.4444444444444444,0.45545292304823803,0.44360902255639095,0.4836521665689288,0.4424778761061947,0.5083478054930749,0.4423076923076923,0.09022122298481167,-0.051198801198801214,0.04166038941983019,-0.002136752136752129,-0.011234493025006675,0.052894882444836866,0.016964750495684078,0.024695638924146113
43,2622,684,23.49351639969489,22.953216374269005,0.4907348025344477,0.5656565656565656,0.562556586030278,0.5233644859813084,0.5714199129509869,0.50814332247557,0.5717869377877178,0.5141242937853108,0.5481666091369338,0.46710526315789475,0.057431806602486146,-0.09855130249867089,-0.014389976893344203,-0.05625922282341361,0.008863326920708903,-0.023253303814053106,0.009230351757439803,-0.023620328650784006
44,2657,649,22.958223560406473,25.115562403698,0.6018705188953676,0.56,0.6395922154763651,0.5328467153284672,0.6397718864635717,0.5236363636363637,0.6387695774866168,0.5773809523809523,0.6392512706902933,0.46564885496183206,0.037380751794925726,-0.094351145038168,-0.00034094478607182843,-0.06719786036663511,0.0001796709872066149,-0.0005206157732784433,-0.0008226379897483538,0.00048169320367652535
45,2728,578,22.763929618768326,26.297577854671278,0.4633271214405363,0.5026737967914439,0.5207137860553049,0.5150501672240803,0.5199316104111957,0.5049833887043189,0.516679629354651,0.5278592375366569,0.48973334424748044,0.41064638783269963,0.026406222806944157,-0.09202740895874423,-0.0309804418078245,-0.10440377939138062,-0.0007821756441092065,-0.030198266163715293,-0.00403415670065399,-0.02694628510717051
46,2651,655,24.028668427008675,20.763358778625953,0.29593031543252796,0.39577836411609496,0.30311299347414894,0.3742690058479532,0.3433070004096524,0.3684210526315789,0.32769548394507525,0.36363636363636365,0.38094514097479554,0.3583535108958838,0.08501482554226758,-0.03742485322021116,0.0778321475006466,-0.015915494952069398,0.04019400693550346,0.03763814056514314,0.02458249047092631,0.05324965702972029
