split_index,feature,verdict,boruta_rank,feature_set
12,base_AvgNeighbourDegree,confirmed,1,hypergraph
12,stoich_WeightedTriangles,confirmed,1,hypergraph
12,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
12,stoich_RangeComplexSize,rejected,2,hypergraph
12,stoich_MedComplexSize,confirmed,1,hypergraph
12,stoich_MedianRatio,confirmed,1,hypergraph
12,stoich_RangeRatio,confirmed,1,hypergraph
12,protein_MedianUniqueRatio,confirmed,1,hypergraph
12,protein_RangeUniqueRatio,confirmed,1,hypergraph
12,protein_MedComplexNodes,confirmed,1,hypergraph
12,protein_RangeComplexNodes,rejected,3,hypergraph
13,base_Degree,confirmed,1,hypergraph
13,base_LocalClustCoeff,rejected,5,hypergraph
13,base_TriangleCount,confirmed,1,hypergraph
13,base_UniquePartners,confirmed,1,hypergraph
13,base_AvgNeighbourDegree,confirmed,1,hypergraph
13,stoich_WeightedTriangles,confirmed,1,hypergraph
13,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
13,stoich_RangeComplexSize,rejected,4,hypergraph
13,stoich_MedComplexSize,confirmed,1,hypergraph
13,stoich_MedianRatio,confirmed,1,hypergraph
13,stoich_RangeRatio,tentative,2,hypergraph
13,protein_MedianUniqueRatio,confirmed,1,hypergraph
13,protein_RangeUniqueRatio,confirmed,1,hypergraph
13,protein_MedComplexNodes,confirmed,1,hypergraph
13,protein_RangeComplexNodes,rejected,3,hypergraph
14,base_Degree,confirmed,1,hypergraph
14,base_LocalClustCoeff,rejected,3,hypergraph
14,base_TriangleCount,confirmed,1,hypergraph
14,base_UniquePartners,confirmed,1,hypergraph
14,base_AvgNeighbourDegree,confirmed,1,hypergraph
14,stoich_WeightedTriangles,confirmed,1,hypergraph
14,stoich_AvgNeighbourDegreeStoich,confirmed,1,hypergraph
14,stoich_RangeComplexSize,rejected,5,hypergraph
14,stoich_MedComplexSize,confirmed,1,hypergraph
14,stoich_MedianRatio,confirmed,1,hypergraph
