model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,hypergraph,28,0.18490167077580721,2710,678,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,28,0.19694001813227927,2710,678,14,42,{'clf__C': np.float64(1.0129197956845732)}
LogisticRegression,Linear,pairwise,29,0.10175897947344054,2712,676,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,29,0.2248711668445966,2712,676,8,42,{'clf__C': np.float64(0.033205591037519584)}
LogisticRegression,Linear,hb_graph,29,0.26288478363566214,2712,676,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,30,0.1308026966682883,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,30,0.1334195814289234,2711,677,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,30,0.15761080743610614,2711,677,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,31,0.09782299581709061,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,31,0.13159052966448895,2710,678,8,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,hb_graph,31,0.14774676703254458,2710,678,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,32,0.1543169964888349,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,32,0.21184259031100472,2710,678,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,32,0.2757097055318894,2710,678,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,33,0.12243666998238609,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,33,0.252776972518048,2712,676,8,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,hb_graph,33,0.2774651363549483,2712,676,14,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,pairwise,34,0.1719326053381507,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,34,0.18034331043923077,2712,676,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,34,0.2120377498819945,2712,676,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,35,0.10675642514088425,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,35,0.2246331927400467,2710,678,8,42,{'clf__C': np.float64(1.0129197956845732)}
LogisticRegression,Linear,hb_graph,35,0.28108016543316244,2710,678,14,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,pairwise,36,0.17140895906898013,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,36,0.19553617401169537,2710,678,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,36,0.2510975185713725,2710,678,14,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,pairwise,37,0.11905583780127736,2713,675,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,37,0.2532153532927203,2713,675,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,37,0.31621050265611406,2713,675,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,38,0.14224913162906813,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,38,0.22709896817255704,2712,676,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,38,0.26576305608733775,2712,676,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,39,0.1234175615635551,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,39,0.18654178205805177,2710,678,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,39,0.2661663947488468,2710,678,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,40,0.13924552412152777,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,40,0.16893578505249998,2711,677,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,40,0.22410225171730794,2711,677,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,41,0.13671202211411987,2712,676,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,41,0.1836631047452475,2712,676,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,41,0.31710220346652934,2712,676,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,42,0.09435589680974636,2713,675,4,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hypergraph,42,0.1902980934109727,2713,675,8,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,hb_graph,42,0.24789855158607682,2713,675,14,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,pairwise,43,0.1117291624370484,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
