model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,hypergraph,25,0.322933166117684,4020,1034,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,25,0.3200709517225073,4020,1034,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,26,0.6011110580544099,4000,1054,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,26,0.6441223002553482,4000,1054,8,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hb_graph,26,0.6443995175571406,4000,1054,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,27,0.4960073578026181,4098,956,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,27,0.4939926062885237,4098,956,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,27,0.47372006250468285,4098,956,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,28,0.4245076145548463,4016,1038,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,28,0.38752170369155436,4016,1038,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,28,0.3821873637591803,4016,1038,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,29,0.4681959854823502,3979,1075,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,29,0.4454103348482629,3979,1075,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,29,0.44076716695996776,3979,1075,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,30,0.3621398372032176,3920,1134,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,30,0.36077973686155596,3920,1134,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,30,0.3590800226634092,3920,1134,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,31,0.4188168499944197,4082,972,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,31,0.4820709842081392,4082,972,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,31,0.4828147859611245,4082,972,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,32,0.4453204721023508,3952,1102,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,32,0.4526303243702208,3952,1102,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,32,0.4474569629144395,3952,1102,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,33,0.26145803068671436,4002,1052,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,33,0.26182715065962897,4002,1052,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,33,0.26187456510305224,4002,1052,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,34,0.473688578560305,4073,981,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,34,0.49183883365798714,4073,981,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,34,0.4898250185435552,4073,981,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,35,0.5047905575988187,3929,1125,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,35,0.5148024609277158,3929,1125,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,35,0.5124453481861481,3929,1125,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,36,0.27804902653140506,3981,1073,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,36,0.31174556258958447,3981,1073,8,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hb_graph,36,0.3148851116314161,3981,1073,14,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,pairwise,37,0.4458357416501791,4054,1000,4,42,{'clf__C': np.float64(0.0019517224641449498)}
