split_index,n_train,n_test,train_pos_pct,test_pos_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hyper_recip_pr_auc,hb_graph_pr_auc
18,4230,892,12.15130023640662,11.547085201793722,0.28907169259223775,0.30181519653057853,0.34969849342358905,0.39126683263905865,0.3734794432785027
19,3913,1209,12.343470483005367,11.083540115798181,0.23859793494424575,0.31504594107795664,0.3270179684428429,0.37967837740062504,0.35529555665752655
20,3992,1130,11.823647294589177,12.831858407079647,0.2794781086509334,0.3729373737261504,0.39176005164806904,0.40776813891276475,0.40727107215040204
21,4150,972,12.216867469879517,11.316872427983538,0.33328263356715176,0.41272104951701033,0.44542674627035356,0.49436144141138405,0.449962352888737
22,4228,894,12.204351939451277,11.297539149888143,0.25105513865227197,0.37826535611588097,0.39400389377103584,0.45487533190172963,0.4073255160565396
23,3952,1170,11.867408906882591,12.649572649572649,0.2292415019068784,0.3506606469657726,0.3510744479288021,0.3868286507934485,0.3555168683853082
24,4128,994,12.185077519379844,11.468812877263582,0.2470563359639228,0.3766917916387123,0.38459928738440574,0.4156725199183304,0.4038833229550029
25,3968,1154,11.769153225806452,12.99826689774697,0.2647123526425607,0.4400121587493329,0.44375420901133067,0.5071764607300836,0.4604440139490817
26,4221,901,11.892916370528312,12.763596004439512,0.23645491606409746,0.32327673712239186,0.33350952311699417,0.3455330352453492,0.34590848728158274
27,4148,974,11.909353905496625,12.628336755646819,0.2833751540343041,0.32055605729684816,0.3323116772903071,0.383409578449184,0.3543071996347673
28,4209,913,12.21192682347351,11.281489594742606,0.24305891685484818,0.3426989777497669,0.37938199661532385,0.4006950520845011,0.3620573841870772
29,4206,916,11.959106038991916,12.445414847161572,0.29436391029326975,0.38979075746201236,0.37843406804070673,0.4236535496705639,0.39444103808850367
30,3981,1141,11.956794775182116,12.357581069237511,0.25674614468490065,0.4219875992794601,0.41358115676391055,0.462830460019887,0.44197627616293284
31,4236,886,12.346553352219075,10.609480812641085,0.26004682543001606,0.34072378771511297,0.3670945964146821,0.3860275726337447,0.36328177420992924
32,3950,1172,11.924050632911392,12.457337883959044,0.2717061111091731,0.3627261038040975,0.38023569571582766,0.4041256212425274,0.39962513295544494
33,4211,911,12.18237948230824,11.416026344676181,0.3149576509878436,0.378380919372122,0.4139481703964063,0.43753336910900115,0.4296257195323812
34,4077,1045,12.116752514103506,11.770334928229666,0.29425979784089684,0.44056376208558357,0.4752098528860127,0.5312840600052612,0.5019792827761584
35,4027,1095,12.043704991308667,12.054794520547945,0.2910986273056317,0.4558850375905994,0.4573908995375338,0.4701603941432962,0.4667293243752292
36,4146,976,12.397491558128317,10.55327868852459,0.22653351781936312,0.33696261752670653,0.36133069311233035,0.37085181295862324,0.371473694491352
37,3917,1205,12.356395200408476,11.037344398340249,0.26418865650418466,0.345137832538817,0.35164582748582357,0.40196724757928043,0.38244229761187626
38,4067,1055,11.900663880009835,12.606635071090047,0.2994074007203032,0.34833591991798746,0.36173261003947893,0.41511216822157077,0.3803754205812024
39,4141,981,11.977783144168075,12.334352701325178,0.23536513480467708,0.3578310990318745,0.3366557436182327,0.375089337300316,0.36524483545890246
40,4154,968,12.253249879634087,11.15702479338843,0.31888964728269603,0.383606281266499,0.3940423842622254,0.47144441428184436,0.447605534841248
41,3903,1219,11.913912375096078,12.469237079573421,0.2670705254559304,0.43074847629844626,0.43907396966470336,0.481392550610345,0.45989945452876885
42,4085,1037,11.946144430844553,12.439729990356799,0.2661273623594656,0.44006351043776487,0.4503573803846454,0.4890842446375073,0.46815686193388983
43,4033,1089,12.1745598809819,11.570247933884298,0.3293826821192206,0.41203015129063425,0.44422512200546926,0.5003020948563739,0.4796864153674183
44,4192,930,12.23759541984733,11.182795698924732,0.3096845158750081,0.3601572133772562,0.398474292734989,0.46785776489394376,0.41344923476203954
45,3897,1225,12.29150628688735,11.26530612244898,0.27543838615567734,0.29837520185647864,0.30904586452051025,0.3659953953629099,0.33052403599539254
46,4156,966,12.271414821944177,11.076604554865424,0.3377588982643257,0.39459714079771174,0.41011872489778417,0.5020102266787888,0.42508414029676
47,4100,1022,11.853658536585366,12.818003913894325,0.25675226937855306,0.34404766211042326,0.3550273520682407,0.3592136099299114,0.36781755085938156
48,4151,971,12.262105516742954,11.122554067971164,0.24416092273085838,0.3760406285292967,0.36304280365883557,0.415799002641846,0.3881665116783321
49,4176,946,12.092911877394636,11.839323467230443,0.25283953506701834,0.3493239936998707,0.40959440187001395,0.39467691212172373,0.3978012902864358
50,3892,1230,11.947584789311408,12.357723577235772,0.28078487655415174,0.4099800690188635,0.43424428875613663,0.4781356003725204,0.45736628986823025
