model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,hypergraph,25,0.205709078,2736,652,8,42,{'clf__C': np.float64(0.0745934328572655)}
LogisticRegression,Linear,hb_graph,25,0.249214604,2736,652,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,26,0.085344669,2752,636,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,26,0.07272036,2752,636,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,26,0.079467061,2752,636,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,27,0.1312591,2686,702,4,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hypergraph,27,0.150286224,2686,702,8,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,hb_graph,27,0.153005475,2686,702,14,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,pairwise,28,0.147264009,2749,639,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,28,0.224169273,2749,639,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,28,0.264341171,2749,639,14,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,pairwise,29,0.105538259,2656,732,4,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,hypergraph,29,0.156558715,2656,732,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,29,0.147655186,2656,732,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,30,0.176777924,2764,624,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,30,0.380911952,2764,624,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,30,0.409510767,2764,624,14,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,pairwise,31,0.095551185,2740,648,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,31,0.15527825,2740,648,8,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hb_graph,31,0.207033236,2740,648,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,32,0.076563775,2770,618,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,32,0.223386992,2770,618,8,42,{'clf__C': np.float64(0.008111941985431923)}
LogisticRegression,Linear,hb_graph,32,0.289916449,2770,618,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,33,0.115241973,2699,689,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,33,0.28446123,2699,689,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,33,0.326576881,2699,689,14,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,pairwise,34,0.100541877,2753,635,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,34,0.155550242,2753,635,8,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,hb_graph,34,0.145099183,2753,635,14,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,pairwise,35,0.107467468,2780,608,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,35,0.268217761,2780,608,8,42,{'clf__C': np.float64(0.14445251022763064)}
LogisticRegression,Linear,hb_graph,35,0.255907494,2780,608,14,42,{'clf__C': np.float64(0.0019517224641449498)}
LogisticRegression,Linear,pairwise,36,0.098413695,2735,653,4,42,{'clf__C': np.float64(0.001267425589893723)}
