gene,essential_category,database,Protein
TIGD6,Non-essential,D,Q17RP2
PNLIPRP3,Non-essential,D,Q17RR3
GEN1,Non-essential,D,Q17RS7
COL24A1,Non-essential,D,Q17RW2
CPEB4,Non-essential,D,Q17RY0
LY6K,Non-essential,D,Q17RY6
DOK7,Non-essential,D,Q18PE1
ZSWIM7,Non-essential,D,Q19AV6
ECSCR,Non-essential,D,Q19T08
IQCJ,Non-essential,D,Q1A5X6
KNOP1,Non-essential,D,Q1ED39
SLC5A12,Non-essential,D,Q1EHB4
DUOXA1,Non-essential,D,Q1HG43
DUOXA2,Non-essential,D,Q1HG44
HNRNPUL2,Non-essential,D,Q1KMD3
LONRF2,Non-essential,D,Q1L5Z9
MSMP,Non-essential,D,Q1L6U9
CSPP1,Cancer,O,Q1MSJ5
INSC,Non-essential,D,Q1MX18
SAMTOR,Non-essential,D,Q1RMZ1
SPINK13,Non-essential,D,Q1W4C9
FAM110C,Non-essential,D,Q1W6H9
LRRC36,Non-essential,D,Q1X8D7
SKIDA1,Non-essential,D,Q1XH10
IZUMO4,Non-essential,D,Q1ZYL8
SWI5,Non-essential,D,Q1ZZU3
TMEM132A,Non-essential,D,Q24JP5
INF2,Non-essential,D,Q27J81
MICB,Non-essential,D,Q29980
MICA,Cancer,O,Q29983
PDS5A,Non-essential,D,Q29RF7
CLEC12B,Non-essential,D,Q2HXU8
LRRC26,Non-essential,D,Q2I0M4
RSPO4,Non-essential,D,Q2I0M5
KIAA0753,Non-essential,D,Q2KHM9
RNF151,Non-essential,D,Q2KHN1
RFX7,Cancer,O,Q2KHR2
QSER1,Non-essential,D,Q2KHR3
CLEC16A,Non-essential,D,Q2KHT3
GSG1,Non-essential,D,Q2KHT4
KIF26B,Non-essential,D,Q2KJY2
PRSS53,Non-essential,D,Q2L4Q9
BLTP1,Non-essential,D,Q2LD37
ZNF423,Non-essential,D,Q2M1K9
KIF7,Non-essential,D,Q2M1P5
ISX,Non-essential,D,Q2M1V0
ARHGAP31,Non-essential,D,Q2M1Z3
ZNF630,Non-essential,D,Q2M218
CCDC27,Non-essential,D,Q2M243
MTHFSD,Non-essential,D,Q2M296
TBC1D28,Non-essential,D,Q2M2D7
ODF4,Non-essential,D,Q2M2E3
MGAM2,Non-essential,D,Q2M2H8
FAM83E,Non-essential,D,Q2M2I3
KRT24,Non-essential,D,Q2M2I5
AAK1,Non-essential,D,Q2M2I8
C17orf58,Non-essential,D,Q2M2W7
KIZ,Non-essential,D,Q2M2Z5
CFAP184,Non-essential,D,Q2M329
MPEG1,Non-essential,D,Q2M385
WASHC4,Non-essential,D,Q2M389
TMEM266,Non-essential,D,Q2M3C6
SPHKAP,Non-essential,D,Q2M3C7
EXOC3L2,Non-essential,D,Q2M3D2
ABCB5,Non-essential,D,Q2M3G0
SHROOM1,Non-essential,D,Q2M3G4
SLC5A9,Non-essential,D,Q2M3M2
SLC35G1,Non-essential,D,Q2M3R5
HYAL4,Non-essential,D,Q2M3T9
SOWAHA,Non-essential,D,Q2M3V2
ZNF181,Non-essential,D,Q2M3W8
ZNF674,Non-essential,D,Q2M3X9
RGS21,Non-essential,D,Q2M5E4
SPRED3,Non-essential,D,Q2MJR0
RSPO1,Non-essential,D,Q2MKA7
TCTN1,Non-essential,D,Q2MV58
CTC1,Non-essential,D,Q2NKJ3
SGSM1,Non-essential,D,Q2NKQ1
ERCC6L,Non-essential,D,Q2NKX8
C2orf68,Non-essential,D,Q2NKX9
PARP6,Non-essential,D,Q2NL67
PROSER3,Non-essential,D,Q2NL68
TSR1,Core,D,Q2NL82
VMAC,Non-essential,D,Q2NL98
RALGAPA2,Non-essential,D,Q2PPJ7
DPY19L1,Non-essential,D,Q2PZI1
TRIM71,Non-essential,D,Q2Q1W2
RPEL1,Non-essential,D,Q2QD12
ZXDC,Non-essential,D,Q2QGD7
MPV17L,Non-essential,D,Q2QL34
TYSND1,Non-essential,D,Q2T9J0
TMEM44,Non-essential,D,Q2T9K0
INSYN1,Non-essential,D,Q2T9L4
IAH1,Non-essential,D,Q2TAA2
ALG11,Core,B,Q2TAA5
TSNAXIP1,Non-essential,D,Q2TAA8
CCDC57,Non-essential,D,Q2TAC2
KIF19,Non-essential,D,Q2TAC6
PWWP3A,Non-essential,D,Q2TAK8
SMTNL2,Non-essential,D,Q2TAL5
VWC2,Non-essential,D,Q2TAL6
QRICH1,Non-essential,D,Q2TAL8
TUSC1,Non-essential,D,Q2TAM9
GOLGA7B,Non-essential,D,Q2TAP0
SMU1,Core,B,Q2TAY7
ATG2A,Non-essential,D,Q2TAZ0
ZNF800,Non-essential,D,Q2TB10
ASTE1,Cancer,O,Q2TB18
HKDC1,Non-essential,D,Q2TB90
KLHL40,Non-essential,D,Q2TBA0
PRICKLE4,Non-essential,D,Q2TBC4
CWF19L2,Non-essential,D,Q2TBE0
WSCD2,Non-essential,D,Q2TBF2
COL28A1,Non-essential,D,Q2UY09
FHOD3,Non-essential,D,Q2V2M9
KIF4B,Non-essential,D,Q2VIQ3
EIF2S3B,Non-essential,D,Q2VIR3
CR1L,Non-essential,D,Q2VPA4
AP5B1,Non-essential,D,Q2VPB7
LRRC75B,Non-essential,D,Q2VPJ9
CTU2,Non-essential,D,Q2VPK5
SKOR2,Non-essential,D,Q2VWA4
PRTG,Non-essential,D,Q2VWP7
ZNF284,Cancer,O,Q2VY69
LETM2,Non-essential,D,Q2VYF4
CEACAM16,Non-essential,D,Q2WEN9
KLHL38,Non-essential,D,Q2WGJ6
FER1L6,Non-essential,D,Q2WGJ9
GAB4,Cancer,O,Q2WGN9
SLC4A8,Non-essential,D,Q2Y0W8
UVSSA,Non-essential,D,Q2YD98
HLA-DRB5,Non-essential,D,Q30154
HFE,Non-essential,D,Q30201
DEFB136,Non-essential,D,Q30KP8
DEFB135,Non-essential,D,Q30KP9
DEFB116,Non-essential,D,Q30KQ4
DEFB115,Non-essential,D,Q30KQ5
DEFB114,Non-essential,D,Q30KQ6
DEFB113,Non-essential,D,Q30KQ7
DEFB110,Non-essential,D,Q30KQ9
ANO4,Non-essential,D,Q32M45
ZNF699,Non-essential,D,Q32M78
BTBD16,Non-essential,D,Q32M84
PGGHG,Non-essential,D,Q32M88
ATOSA,Non-essential,D,Q32MH5
MYLK3,Non-essential,D,Q32MK0
ZNF750,Non-essential,D,Q32MQ0
LRRFIP1,Non-essential,D,Q32MZ4
PGS1,Core,D,Q32NB8
RMP24,Non-essential,D,Q32NC0
P3H1,Non-essential,D,Q32P28
TRMT5,Core,D,Q32P41
EML3,Non-essential,D,Q32P44
HNRNPA1L2,Non-essential,D,Q32P51
PLPPR5,Non-essential,D,Q32ZL2
NDUFAF6,Cancer,O,Q330K2
RFX4,Non-essential,D,Q33E94
LRRK1,Non-essential,D,Q38SD2
POLR1F,Core,D,Q3B726
CNPY1,Non-essential,D,Q3B7I2
GFOD2,Non-essential,D,Q3B7J2
SMIM21,Non-essential,D,Q3B7S5
EDRF1,Non-essential,D,Q3B7T1
BEAN1,Non-essential,D,Q3B7T3
FAM161A,Non-essential,D,Q3B820
LGALS9B,Non-essential,D,Q3B8N2
PROX2,Non-essential,D,Q3B8N5
C11orf91,Non-essential,D,Q3C1V1
BSX,Cancer,O,Q3C1V8
ACOT6,Non-essential,D,Q3I5F7
PTCHD3,Cancer,O,Q3KNS1
ZNF829,Cancer,O,Q3KNS6
TMEM95,Non-essential,D,Q3KNT9
PCGF3,Non-essential,D,Q3KNV8
SNAI3,Non-essential,D,Q3KNW1
SLC10A6,Non-essential,D,Q3KNW5
MAJIN,Non-essential,D,Q3KP22
ZNF791,Non-essential,D,Q3KP31
ANKRD55,Non-essential,D,Q3KP44
INAVA,Non-essential,D,Q3KP66
CEACAM21,Non-essential,D,Q3KPI0
MAP7D1,Non-essential,D,Q3KQU3
ZNF792,Non-essential,D,Q3KQV3
UAP1L1,Non-essential,D,Q3KQV9
SLC25A35,Non-essential,D,Q3KQZ1
PLEKHG6,Non-essential,D,Q3KR16
GRAMD1B,Non-essential,D,Q3KR37
C2orf76,Non-essential,D,Q3KRA6
ALKBH6,Non-essential,D,Q3KRA9
CHD9,Non-essential,D,Q3L8U1
KRTAP25-1,Non-essential,D,Q3LHN0
KRTAP21-3,Non-essential,D,Q3LHN1
KRTAP19-2,Non-essential,D,Q3LHN2
KRTAP19-8,Non-essential,D,Q3LI54
KRTAP21-1,Non-essential,D,Q3LI58
KRTAP21-2,Non-essential,D,Q3LI59
KRTAP20-3,Non-essential,D,Q3LI60
KRTAP20-2,Non-essential,D,Q3LI61
KRTAP20-4,Non-essential,D,Q3LI62
KRTAP20-1,Non-essential,D,Q3LI63
KRTAP6-1,Non-essential,D,Q3LI64
KRTAP6-2,Non-essential,D,Q3LI66
KRTAP22-2,Non-essential,D,Q3LI68
KRTAP19-6,Non-essential,D,Q3LI70
KRTAP19-5,Non-essential,D,Q3LI72
KRTAP19-4,Non-essential,D,Q3LI73
KRTAP15-1,Non-essential,D,Q3LI76
KRTAP13-4,Non-essential,D,Q3LI77
KRTAP27-1,Non-essential,D,Q3LI81
KRTAP24-1,Non-essential,D,Q3LI83
ADPRM,Non-essential,D,Q3LIE5
TKFC,Non-essential,D,Q3LXA3
LSM12,Non-essential,D,Q3MHD2
TBC1D25,Non-essential,D,Q3MII6
RGL3,Non-essential,D,Q3MIN7
ITPRIPL2,Non-essential,D,Q3MIP1
TMEM30B,Non-essential,D,Q3MIR4
ZNF528,Non-essential,D,Q3MIS6
PUS10,Non-essential,D,Q3MIT2
KRTAP22-1,Non-essential,D,Q3MIV0
MUCL3,Non-essential,D,Q3MIW9
ADCK5,Non-essential,D,Q3MIX3
WDR72,Non-essential,D,Q3MJ13
PLA2G4E,Cancer,O,Q3MJ16
ZSCAN23,Non-essential,D,Q3MJ62
PIGY,Non-essential,D,Q3MUY2
CIMAP1D,Non-essential,D,Q3SX64
DCAF4L1,Non-essential,D,Q3SXM0
HSDL1,Non-essential,D,Q3SXM5
SHISAL1,Non-essential,D,Q3SXP7
LRIT3,Non-essential,D,Q3SXY7
ARL13B,Non-essential,D,Q3SXY8
ZNF718,Non-essential,D,Q3SXZ3
TTLL9,Non-essential,D,Q3SXZ7
TSGA10IP,Non-essential,D,Q3SY00
SLC25A52,Non-essential,D,Q3SY17
KRTAP13-3,Non-essential,D,Q3SY46
ZIK1,Non-essential,D,Q3SY52
SP6,Non-essential,D,Q3SY56
ALDH1L2,Non-essential,D,Q3SY69
UGT3A2,Cancer,O,Q3SY77
KRT71,Non-essential,D,Q3SY84
MOGAT2,Non-essential,D,Q3SYC2
KRTAP19-7,Non-essential,D,Q3SYF9
BBS9,Non-essential,D,Q3SYG4
GON4L,Non-essential,D,Q3T8J9
GNPTAB,Non-essential,D,Q3T906
MGAT5B,Non-essential,D,Q3V5L5
CCDC88A,Non-essential,D,Q3V6T2
TMEM176B,Non-essential,D,Q3YBM2
TBRG1,Non-essential,D,Q3YBR2
RABL6,Non-essential,D,Q3YEC7
VMA21,Non-essential,D,Q3ZAQ7
TUBB8,Non-essential,D,Q3ZCM7
OTOGL,Non-essential,D,Q3ZCN5
ANXA2R,Cancer,O,Q3ZCQ2
FAM174B,Non-essential,D,Q3ZCQ3
TIMM50,Non-essential,D,Q3ZCQ8
ZNF260,Non-essential,D,Q3ZCT1
KBTBD12,Non-essential,D,Q3ZCT8
GVQW3,Non-essential,D,Q3ZCU0
CIMAP2,Non-essential,D,Q3ZCV2
LGALSL,Non-essential,D,Q3ZCW2
ZNF568,Non-essential,D,Q3ZCX4
AMZ1,Non-essential,D,Q400G9
ZACN,Non-essential,D,Q401N2
PARP15,Non-essential,D,Q460N3
PARP14,Non-essential,D,Q460N5
DRC12,Non-essential,D,Q494R4
PLEKHN1,Non-essential,D,Q494U1
CFAP100,Non-essential,D,Q494V2
CHRFAM7A,Non-essential,D,Q494W8
ZNF404,Non-essential,D,Q494X3
TIGIT,Non-essential,D,Q495A1
ANKDD1A,Non-essential,D,Q495B1
RNF212,Non-essential,D,Q495C1
SLC36A2,Non-essential,D,Q495M3
USH1G,Non-essential,D,Q495M9
SLC36A3,Non-essential,D,Q495N2
MMEL1,Non-essential,D,Q495T6
TRIM60,Non-essential,D,Q495X7
SPATS1,Non-essential,D,Q496A3
CD300E,Non-essential,D,Q496F6
NRN1L,Non-essential,D,Q496H8
SV2C,Non-essential,D,Q496J9
PLK5,Non-essential,D,Q496M5
LONRF3,Non-essential,D,Q496Y0
SLFNL1,Non-essential,D,Q499Z3
ZNF672,Non-essential,D,Q499Z4
GALNTL6,Non-essential,D,Q49A17
GLYR1,Non-essential,D,Q49A26
CCDC14,Non-essential,D,Q49A88
C8orf34,Non-essential,D,Q49A92
ZFP69,Non-essential,D,Q49AA0
CDNF,Non-essential,D,Q49AH0
FAM135B,Non-essential,D,Q49AJ0
MTERF2,Non-essential,D,Q49AM1
TTC31,Non-essential,D,Q49AM3
CRY2,Non-essential,D,Q49AN0
C5orf22,Non-essential,D,Q49AR2
COX19,Non-essential,D,Q49B96
MAP9,Non-essential,D,Q49MG5
CERKL,Non-essential,D,Q49MI3
GPR33,Non-essential,D,Q49SQ1
C2CD3,Non-essential,D,Q4AC94
ACCSL,Cancer,O,Q4AC99
RIC1,Non-essential,D,Q4ADV7
KMT5B,Non-essential,D,Q4FZB7
MINDY4,Non-essential,D,Q4G0A6
VPS26B,Non-essential,D,Q4G0F5
SCGB2B2,Non-essential,D,Q4G0G5
UQCC4,Non-essential,D,Q4G0I0
LARP7,Non-essential,D,Q4G0J3
ERFE,Non-essential,D,Q4G0M1
NADK2,Non-essential,D,Q4G0N4
FAM229B,Non-essential,D,Q4G0N7
SLC9C1,Non-essential,D,Q4G0N8
HYDIN,Non-essential,D,Q4G0P3
CYP27C1,Non-essential,D,Q4G0S4
CCDC152,Non-essential,D,Q4G0S7
CFAP221,Non-essential,D,Q4G0U5
DUSP28,Cancer,O,Q4G0W2
KCTD21,Non-essential,D,Q4G0X4
CCDC40,Non-essential,D,Q4G0X9
MCMDC2,Non-essential,D,Q4G0Z9
HSF5,Cancer,O,Q4G112
GXYLT1,Non-essential,D,Q4G148
FBXO43,Non-essential,D,Q4G163
ACSF3,Non-essential,D,Q4G176
GLIPR1L2,Cancer,O,Q4G1C9
PREPL,Non-essential,D,Q4J6C6
PTPN20,Non-essential,D,Q4JDL3
CDON,Non-essential,D,Q4KMG0
TMEM52B,Non-essential,D,Q4KMG9
TBC1D10B,Non-essential,D,Q4KMP7
TPRN,Non-essential,D,Q4KMQ1
ANO6,Non-essential,D,Q4KMQ2
IQCC,Non-essential,D,Q4KMZ1
NKAIN1,Non-essential,D,Q4KMZ8
PLCH1,Non-essential,D,Q4KWH8
FILIP1L,Non-essential,D,Q4L180
AASDH,Non-essential,D,Q4L235
SVEP1,Non-essential,D,Q4LDE5
DNAL1,Non-essential,D,Q4LDG9
CTXN3,Non-essential,D,Q4LDR2
ARID4B,Non-essential,D,Q4LE39
AARD,Non-essential,D,Q4LEZ3
DEFB134,Non-essential,D,Q4QY38
MRPL51,Non-essential,D,Q4U2R6
SLC22A6,Non-essential,D,Q4U2R8
GRIPAP1,Non-essential,D,Q4V328
TMEM119,Non-essential,D,Q4V9L6
BCL7A,Non-essential,D,Q4VC05
MSS51,Non-essential,D,Q4VC12
MIX23,Non-essential,D,Q4VC31
HIGD2B,Non-essential,D,Q4VC39
FLYWCH1,Cancer,O,Q4VC44
AMOT,Non-essential,D,Q4VCS5
ATP13A5,Non-essential,D,Q4VNC0
ATP13A4,Non-essential,D,Q4VNC1
SYTL3,Non-essential,D,Q4VX76
KHDC1,Non-essential,D,Q4VXA5
PABPC1L,Non-essential,D,Q4VXU2
DORIP1,Non-essential,D,Q4W4Y0
TIGD2,Non-essential,D,Q4W5G0
GREB1,Non-essential,D,Q4ZG55
FNDC1,Non-essential,D,Q4ZHG4
TMEM259,Non-essential,D,Q4ZIN3
SLC9B1,Non-essential,D,Q4ZJI4
VWA3B,Non-essential,D,Q502W6
CCDC38,Non-essential,D,Q502W7
MORN2,Non-essential,D,Q502X0
PAN2,Non-essential,D,Q504Q3
MIDN,Non-essential,D,Q504T8
C4orf46,Non-essential,D,Q504U0
SLC39A12,Non-essential,D,Q504Y0
PKDCC,Non-essential,D,Q504Y2
ZCWPW2,Non-essential,D,Q504Y3
LRRC24,Non-essential,D,Q50LG9
LIN52,Core,O,Q52LA3
RFTN2,Non-essential,D,Q52LD8
KRTAP13-2,Non-essential,D,Q52LG2
FAM98B,Non-essential,D,Q52LJ0
EPC2,Non-essential,D,Q52LR7
ARHGAP29,Non-essential,D,Q52LW3
ZNF585B,Cancer,O,Q52M93
CCDC184,Non-essential,D,Q52MB2
SBK1,Non-essential,D,Q52WX2
SPATA45,Non-essential,D,Q537H7
PDCD4,Non-essential,D,Q53EL6
SEZ6,Non-essential,D,Q53EL9
FNDC3B,Cancer,O,Q53EP0
TIGD5,Non-essential,D,Q53EQ6
CRTC2,Non-essential,D,Q53ET0
GPAT3,Non-essential,D,Q53EU6
LRRC23,Non-essential,D,Q53EV4
CEP55,Non-essential,D,Q53EZ4
NCBP3,Non-essential,D,Q53F19
MPPE1,Non-essential,D,Q53F39
TP53I3,Non-essential,D,Q53FA7
ZC2HC1C,Non-essential,D,Q53FD0
C4orf17,Non-essential,D,Q53FE4
TMEM35A,Non-essential,D,Q53FP2
HIKESHI,Non-essential,D,Q53FT3
ORMDL2,Non-essential,D,Q53FV1
ACSM3,Non-essential,D,Q53FZ2
IFI44L,Cancer,O,Q53G44
KLHL12,Non-essential,D,Q53G59
PHLDA2,Non-essential,D,Q53GA4
SLC44A4,Non-essential,D,Q53GD3
PDLIM3,Non-essential,D,Q53GG5
ZNF394,Non-essential,D,Q53GI3
PLEKHO1,Non-essential,D,Q53GL0
PARP10,Non-essential,D,Q53GL7
HSD17B12,Non-essential,D,Q53GQ0
GLE1,Non-essential,D,Q53GS7
USP39,Core,B,Q53GS9
KLHL22,Non-essential,D,Q53GT1
AGK,Non-essential,D,Q53H12
SETMAR,Non-essential,D,Q53H47
ANKRD40CL,Non-essential,D,Q53H64
PLA1A,Non-essential,D,Q53H76
AKIRIN2,Core,B,Q53H80
LACTB2,Non-essential,D,Q53H82
PYCR3,Non-essential,D,Q53H96
CCDC92,Non-essential,D,Q53HC0
KLHL26,Non-essential,D,Q53HC5
EIPR1,Non-essential,D,Q53HC9
UNC50,Non-essential,D,Q53HI1
CDCA8,Core,D,Q53HL2
SMUG1,Non-essential,D,Q53HV7
SOWAHC,Cancer,O,Q53LP3
LBH,Non-essential,D,Q53QV2
TEX44,Non-essential,D,Q53QW1
ARHGAP15,Non-essential,D,Q53QZ3
TM4SF20,Non-essential,D,Q53R12
FASTKD1,Non-essential,D,Q53R41
FBLN7,Cancer,O,Q53RD9
ANKRD39,Non-essential,D,Q53RE8
ASPRV1,Non-essential,D,Q53RT3
KRTCAP3,Non-essential,D,Q53RY4
BOLA3,Non-essential,D,Q53S33
TMEM177,Non-essential,D,Q53S58
COBLL1,Non-essential,D,Q53SF7
PRR30,Non-essential,D,Q53SZ7
HS1BP3,Non-essential,D,Q53T59
TAF1B,Core,D,Q53T94
CYBRD1,Non-essential,D,Q53TN4
INO80D,Non-essential,D,Q53TQ3
WDR81,Non-essential,D,Q562E7
SGO2,Non-essential,D,Q562F6
ACTBL2,Non-essential,D,Q562R1
CCDC93,Cancer,O,Q567U6
MPV17L2,Non-essential,D,Q567V2
C5orf47,Non-essential,D,Q569G3
PRR16,Non-essential,D,Q569H4
ZNF385B,Non-essential,D,Q569K4
CCDC157,Non-essential,D,Q569K6
SPIN4,Non-essential,D,Q56A73
ESCO2,Non-essential,D,Q56NI9
EAPP,Non-essential,D,Q56P03
MAP3K19,Non-essential,D,Q56UN5
OCIAD2,Non-essential,D,Q56VL3
SFT2D3,Non-essential,D,Q587I9
TDRD12,Non-essential,D,Q587J7
KHDC3L,Non-essential,D,Q587J8
PAN3,Cancer,O,Q58A45
NAALADL2,Non-essential,D,Q58DX5
SDK2,Non-essential,D,Q58EX2
PLEKHG4,Cancer,O,Q58EX7
BRDT,Non-essential,D,Q58F21
AWAT1,Non-essential,D,Q58HT5
DCAF6,Non-essential,D,Q58WW2
RUNDC3A,Non-essential,D,Q59EK9
TNNI3K,Non-essential,D,Q59H18
SPRN,Non-essential,D,Q5BIV9
TMEM41B,Non-essential,D,Q5BJD5
CCDC178,Cancer,O,Q5BJE1
TMEM97,Non-essential,D,Q5BJF2
ODF2,Non-essential,D,Q5BJF6
TMEM128,Non-essential,D,Q5BJH2
YIF1B,Non-essential,D,Q5BJH7
ALG10,Non-essential,D,Q5BKT4
OXLD1,Non-essential,D,Q5BKU9
ACTMAP,Non-essential,D,Q5BKX5
SLC45A4,Non-essential,D,Q5BKX6
CAVIN4,Non-essential,D,Q5BKX8
LRRC10,Non-essential,D,Q5BKY1
FAM133B,Core,D,Q5BKY9
ZNF326,Non-essential,D,Q5BKZ1
NICOL1,Non-essential,D,Q5BLP8
PIERCE1,Non-essential,D,Q5BN46
C3orf52,Cancer,O,Q5BVD1
NOM1,Core,D,Q5C9Z4
ZNF805,Non-essential,D,Q5CZA5
FSIP2,Non-essential,D,Q5CZC0
DALRD3,Non-essential,D,Q5D0E6
ZC3H12A,Non-essential,D,Q5D1E8
FLG2,Non-essential,D,Q5D862
UMODL1,Non-essential,D,Q5DID0
SPINK9,Non-essential,D,Q5DT21
IGSF11,Non-essential,D,Q5DX21
MEST,Non-essential,D,Q5EB52
ZNF628,Non-essential,D,Q5EBL2
RILPL1,Non-essential,D,Q5EBL4
PDZD11,Non-essential,D,Q5EBL8
CMPK2,Cancer,O,Q5EBM0
TRIM61,Non-essential,D,Q5EBN2
CENPW,Core,B,Q5EE01
CARD16,Non-essential,D,Q5EG05
DNAJC21,Non-essential,D,Q5F1R6
SGO1,Core,D,Q5FBB7
ACSBG2,Non-essential,D,Q5FVE4
PRRT3,Non-essential,D,Q5FWE3
ZRANB3,Non-essential,D,Q5FWF4
ESCO1,Non-essential,D,Q5FWF5
ZNF789,Non-essential,D,Q5FWF6
FBXO48,Non-essential,D,Q5FWF7
ARSH,Non-essential,D,Q5FYA8
ARSJ,Non-essential,D,Q5FYB0
ARSI,Non-essential,D,Q5FYB1
RNASE13,Non-essential,D,Q5GAN3
RNASE12,Non-essential,D,Q5GAN4
RNASE10,Non-essential,D,Q5GAN6
VWA2,Non-essential,D,Q5GFL6
XKR9,Non-essential,D,Q5GH70
XKR7,Non-essential,D,Q5GH72
XKR6,Non-essential,D,Q5GH73
XKR4,Non-essential,D,Q5GH76
XKR3,Non-essential,D,Q5GH77
TNFAIP8L3,Non-essential,D,Q5GJ75
HERC4,Non-essential,D,Q5GLZ8
NMS,Non-essential,D,Q5H8A3
PIGG,Non-essential,D,Q5H8A4
FREM1,Non-essential,D,Q5H8C1
ARL13A,Cancer,O,Q5H913
CT83,Non-essential,D,Q5H943
SLC25A53,Non-essential,D,Q5H9E4
BCORL1,Non-essential,D,Q5H9F3
TFDP3,Non-essential,D,Q5H9I0
BEX5,Non-essential,D,Q5H9J7
ZMAT1,Cancer,O,Q5H9K5
TCEAL5,Cancer,O,Q5H9L2
TAF7L,Non-essential,D,Q5H9L4
PWWP3B,Non-essential,D,Q5H9M0
ARMCX4,Non-essential,D,Q5H9R4
PPP6R3,Non-essential,D,Q5H9R7
DCAF17,Non-essential,D,Q5H9S7
FSCB,Non-essential,D,Q5H9T9
DDX60L,Non-essential,D,Q5H9U9
FAM47C,Non-essential,D,Q5HY64
FIGN,Cancer,O,Q5HY92
ZNF766,Non-essential,D,Q5HY98
TMEM67,Cancer,O,Q5HYA8
MTX3,Non-essential,D,Q5HYI7
RABL3,Non-essential,D,Q5HYI8
TECRL,Non-essential,D,Q5HYJ1
FAM76B,Non-essential,D,Q5HYJ3
COQ5,Cancer,O,Q5HYK3
SH3D19,Non-essential,D,Q5HYK7
ZNF667,Non-essential,D,Q5HYK9
TMEM196,Non-essential,D,Q5HYL7
ZC3H12B,Non-essential,D,Q5HYM0
NHSL2,Non-essential,D,Q5HYW2
RTL5,Non-essential,D,Q5HYW3
MDH1B,Non-essential,D,Q5I0G3
PEX39,Non-essential,D,Q5I0X4
TTC32,Non-essential,D,Q5I0X7
ALG10B,Non-essential,D,Q5I7T1
CRB2,Non-essential,D,Q5IJ48
DEFB121,Cancer,O,Q5J5C9
EMC4,Non-essential,D,Q5J8M3
MS4A13,Non-essential,D,Q5J8X5
ZNF311,Non-essential,D,Q5JNZ3
ZNF831,Non-essential,D,Q5JPB2
NOMO2,Cancer,O,Q5JPE7
ANKRD36C,Non-essential,D,Q5JPF3
EARS2,Non-essential,D,Q5JPH6
C3orf38,Non-essential,D,Q5JPI3
EEF1AKMT2,Non-essential,D,Q5JPI9
AKAP4,Non-essential,D,Q5JQC9
OR2B11,Non-essential,D,Q5JQS5
GCSAML,Cancer,O,Q5JQS6
PPM1J,Non-essential,D,Q5JR12
MTUS2,Non-essential,D,Q5JR59
DYNLT4,Non-essential,D,Q5JR98
MIA3,Non-essential,D,Q5JRA6
FAM47A,Non-essential,D,Q5JRC9
PAGE2B,Non-essential,D,Q5JRK9
CXorf66,Non-essential,D,Q5JRM2
TMEM255A,Non-essential,D,Q5JRV8
PITRM1,Non-essential,D,Q5JRX3
RALGPS1,Non-essential,D,Q5JS13
NHLRC3,Cancer,O,Q5JS37
PSMG4,Core,B,Q5JS54
WDR44,Cancer,O,Q5JSH3
INTS6L,Non-essential,D,Q5JSJ4
DOCK11,Non-essential,D,Q5JSL3
FGD3,Non-essential,D,Q5JSP0
KHDC1L,Non-essential,D,Q5JSQ8
MEIG1,Non-essential,D,Q5JSS6
EFHC2,Non-essential,D,Q5JST6
PRRC2B,Non-essential,D,Q5JSZ5
RAB41,Cancer,O,Q5JT25
KLF17,Non-essential,D,Q5JT82
PLAC9,Cancer,O,Q5JTB6
AMER1,Non-essential,D,Q5JTC6
TJAP1,Non-essential,D,Q5JTD0
LRRC73,Non-essential,D,Q5JTD7
RRP12,Core,D,Q5JTH9
COA6,Non-essential,D,Q5JTJ3
WDR38,Non-essential,D,Q5JTN6
TOR1AIP1,Non-essential,D,Q5JTV8
CEP78,Non-essential,D,Q5JTW2
C9orf152,Cancer,O,Q5JTZ5
AARS2,Non-essential,D,Q5JTZ9
CFAP157,Non-essential,D,Q5JU67
TOR2A,Non-essential,D,Q5JU69
IQSEC2,Non-essential,D,Q5JU85
SOHLH1,Non-essential,D,Q5JUK2
KCNT1,Non-essential,D,Q5JUK3
PAGE3,Non-essential,D,Q5JUK9
FAM78A,Non-essential,D,Q5JUQ0
TEX30,Non-essential,D,Q5JUR7
SPIN3,Cancer,O,Q5JUX0
FRMPD3,Non-essential,D,Q5JV73
PCID2,Core,B,Q5JVF3
ZNF484,Non-essential,D,Q5JVG2
ZNF506,Non-essential,D,Q5JVG8
EFHC1,Non-essential,D,Q5JVL4
HABP4,Non-essential,D,Q5JVS0
C1orf141,Non-essential,D,Q5JVX7
CALHM4,Non-essential,D,Q5JW98
GNAS,Non-essential,D,Q5JWF2
ACTL10,Non-essential,D,Q5JWF8
DOP1A,Non-essential,D,Q5JWR5
FAM209B,Non-essential,D,Q5JX69
FAM209A,Non-essential,D,Q5JX71
SIRPB2,Cancer,O,Q5JXA9
MIIP,Non-essential,D,Q5JXC2
METTL24,Non-essential,D,Q5JXM2
TMEM31,Non-essential,D,Q5JXX7
GPRASP1,Non-essential,D,Q5JY77
KIAA1755,Non-essential,D,Q5JYT7
EPHA10,Non-essential,D,Q5JZY3
PRSS36,Non-essential,D,Q5K4E3
SLC27A3,Non-essential,D,Q5K4L6
SAMD9,Non-essential,D,Q5K651
DGKK,Non-essential,D,Q5KSL6
COLEC12,Non-essential,D,Q5KU26
