gene,essential_category,database,Protein
MFSD2B,Non-essential,D,A6NFX1
NEMP2,Non-essential,D,A6NFY4
SDHAF1,Cancer,O,A6NFY7
FAM24A,Non-essential,D,A6NFZ4
MGAT4D,Non-essential,D,A6NG13
TMEM202,Non-essential,D,A6NGA9
TMEM221,Non-essential,D,A6NGB7
WIPF3,Non-essential,D,A6NGB9
TLCD2,Non-essential,D,A6NGC4
ZSCAN5C,Non-essential,D,A6NGD5
DCAF8L1,Cancer,O,A6NGE4
URAD,Non-essential,D,A6NGE7
PCARE,Non-essential,D,A6NGG8
CCDC160,Non-essential,D,A6NGH7
ANKRD61,Non-essential,D,A6NGH8
IGLON5,Non-essential,D,A6NGN9
OOEP,Non-essential,D,A6NGQ2
MROH6,Cancer,O,A6NGR9
ERICH4,Non-essential,D,A6NGS2
FRG2C,Non-essential,D,A6NGY1
C5orf52,Non-essential,D,A6NGY3
OR51F1,Non-essential,D,A6NGY5
SMIM9,Non-essential,D,A6NGZ8
OR2T8,Non-essential,D,A6NH00
GLTPD2,Non-essential,D,A6NH11
SERINC4,Non-essential,D,A6NH21
TVP23A,Non-essential,D,A6NH52
ARL5C,Non-essential,D,A6NH57
OR4C46,Non-essential,D,A6NHA9
CAPN8,Non-essential,D,A6NHC0
OR5H14,Non-essential,D,A6NHG9
ZNF860,Non-essential,D,A6NHJ4
TUBAL3,Non-essential,D,A6NHL2
OTOL1,Non-essential,D,A6NHN0
FBLL1,Non-essential,D,A6NHQ2
EPOP,Non-essential,D,A6NHQ4
SMCHD1,Non-essential,D,A6NHR9
MANSC4,Non-essential,D,A6NHS7
HMX3,Non-essential,D,A6NHT5
CASTOR2,Non-essential,D,A6NHX0
ANKDD1B,Non-essential,D,A6NHY2
LRRC14B,Non-essential,D,A6NHZ5
MSGN1,Non-essential,D,A6NI15
POTEM,Non-essential,D,A6NI47
CCDC154,Non-essential,D,A6NI56
MYMK,Non-essential,D,A6NI61
LILRA5,Non-essential,D,A6NI73
CCDC69,Non-essential,D,A6NI79
CBY3,Non-essential,D,A6NI87
UNC119B,Non-essential,D,A6NIH7
OR6C70,Non-essential,D,A6NIJ9
LRRC10B,Non-essential,D,A6NIK2
RNF227,Non-essential,D,A6NIN4
AGAP5,Non-essential,D,A6NIR3
LRRIQ4,Non-essential,D,A6NIV6
WTIP,Non-essential,D,A6NIX2
NKX6-3,Non-essential,D,A6NJ46
IGIP,Cancer,O,A6NJ69
METTL15,Non-essential,D,A6NJ78
PRR19,Cancer,O,A6NJB7
SOWAHD,Non-essential,D,A6NJG2
ARGFX,Non-essential,D,A6NJG6
C11orf86,Non-essential,D,A6NJI1
LRRC72,Cancer,O,A6NJI9
C19orf67,Non-essential,D,A6NJJ6
ZSCAN5B,Non-essential,D,A6NJL1
UNCX,Non-essential,D,A6NJT0
CIMIP2C,Non-essential,D,A6NJV1
LRRC3C,Non-essential,D,A6NJW4
OR6C65,Non-essential,D,A6NJZ3
ACOD1,Non-essential,D,A6NK06
GLOD5,Cancer,O,A6NK44
ZNF233,Non-essential,D,A6NK53
LIPT2,Non-essential,D,A6NK58
ASB14,Non-essential,D,A6NK59
ZNF98,Non-essential,D,A6NK75
RASSF10,Non-essential,D,A6NK89
PCNX2,Non-essential,D,A6NKB5
SH2D7,Non-essential,D,A6NKC9
CCDC85C,Non-essential,D,A6NKD9
ARID3C,Non-essential,D,A6NKF2
TMEM278,Non-essential,D,A6NKF7
RTL1,Non-essential,D,A6NKG5
TMEM200C,Non-essential,D,A6NKL6
PCP4L1,Non-essential,D,A6NKN8
SDR42E2,Non-essential,D,A6NKP2
SPDYE3,Non-essential,D,A6NKU9
SHISAL2B,Non-essential,D,A6NKW6
SLC22A31,Non-essential,D,A6NKX4
OR6C75,Non-essential,D,A6NL08
OR5B21,Non-essential,D,A6NL26
CFAP144,Non-essential,D,A6NL82
SHISA7,Non-essential,D,A6NL88
C3orf70,Non-essential,D,A6NLC5
SMIM23,Non-essential,D,A6NLE4
TRIM64C,Non-essential,D,A6NLI5
C2CD4B,Non-essential,D,A6NLJ0
TTC36,Non-essential,D,A6NLP5
VSTM2B,Non-essential,D,A6NLU5
DUXA,Non-essential,D,A6NLW8
SPDYE4,Non-essential,D,A6NLX3
TMEM210,Non-essential,D,A6NLX4
OR2AG2,Non-essential,D,A6NM03
AQP12B,Cancer,O,A6NM10
LRRC37A2,Non-essential,D,A6NM11
ZFP92,Non-essential,D,A6NM28
LRRC30,Non-essential,D,A6NM36
CLDN24,Non-essential,D,A6NM45
LRRC53,Non-essential,D,A6NM62
OR6C76,Non-essential,D,A6NM76
TRPC5OS,Non-essential,D,A6NMA1
FIGNL2,Non-essential,D,A6NMB9
IFITM10,Non-essential,D,A6NMD0
CPSF4L,Non-essential,D,A6NMK7
INSYN2B,Non-essential,D,A6NMK8
TMEM212,Cancer,O,A6NML5
FAM170B,Non-essential,D,A6NMN3
OR5K4,Non-essential,D,A6NMS3
DBX1,Non-essential,D,A6NMT0
EIF4E1B,Non-essential,D,A6NMX2
SNTN,Non-essential,D,A6NMZ2
COL6A6,Non-essential,D,A6NMZ7
ZNF729,Cancer,O,A6NN14
C2orf81,Non-essential,D,A6NN90
GJE1,Non-essential,D,A6NN92
DRGX,Non-essential,D,A6NNA5
IFITM5,Non-essential,D,A6NNB3
OR2AT4,Non-essential,D,A6NND4
MARCHF11,Non-essential,D,A6NNE9
ZNF726,Non-essential,D,A6NNF4
C15orf61,Non-essential,D,A6NNL5
SLC38A8,Non-essential,D,A6NNN8
CCDC169,Non-essential,D,A6NNP5
DHRS7C,Non-essential,D,A6NNS2
C16orf96,Non-essential,D,A6NNT2
ENO4,Non-essential,D,A6NNW6
RIIAD1,Non-essential,D,A6NNX1
USP27X,Non-essential,D,A6NNY8
ZNF716,Non-essential,D,A6NP11
